fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,Off,Off,On,Off,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,0.0922706127166748,0.22101998329162598,103728,0.17188620567321777,87703,753,2.9458444118499756,"[50, 20, 2, 2, 15]"
Off,Off,On,On,Off,Off,Off,Off,On,On,On,Off,On,Off,Off,On,Off,Off,On,On,0.0,0,0,0,0,0,73.6754982471466,"[80, 35, 1, 3, 25]"
On,On,Off,On,On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,On,On,Off,0.0,0,0,0,0,0,73.73149251937866,"[80, 35, 1, 3, 25]"
On,Off,On,On,Off,Off,On,Off,Off,On,On,Off,On,On,Off,Off,On,On,Off,On,0.0,0,0,0,0,0,73.77113389968872,"[80, 35, 1, 3, 25]"
On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,On,On,0.0,0,0,0,0,0,74.22975015640259,"[80, 35, 1, 3, 25]"
Off,Off,Off,On,Off,On,Off,Off,On,Off,On,On,Off,Off,On,Off,Off,Off,On,Off,0.0,0,0,0,0,0,74.14153385162354,"[80, 35, 1, 3, 25]"
Off,Off,Off,Off,On,On,On,On,On,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,0.0,0,0,0,0,0,73.81746745109558,"[80, 35, 1, 3, 25]"
Off,On,Off,Off,On,Off,On,On,Off,On,On,On,Off,Off,On,On,On,Off,Off,On,0.0,0,0,0,0,0,73.68444681167603,"[80, 35, 1, 3, 25]"
Off,On,On,On,On,On,On,On,Off,Off,Off,On,On,Off,Off,On,On,Off,Off,Off,0.0,0,0,0,0,0,73.80662131309509,"[80, 35, 1, 3, 25]"
On,On,On,Off,Off,On,On,On,Off,On,Off,On,On,On,On,Off,Off,Off,On,On,0.0,0,0,0,0,0,73.82504081726074,"[80, 35, 1, 3, 25]"
On,On,Off,Off,On,Off,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,0.0,0,0,0,0,0,74.15101385116577,"[80, 35, 1, 3, 25]"
Off,Off,On,On,Off,Off,Off,Off,On,On,On,Off,On,Off,Off,On,Off,Off,On,On,0.0,0,0,0,0,0,73.87198948860168,"[80, 20, 1, 3, 35]"
On,On,Off,On,On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,On,On,Off,0.0,0,0,0,0,0,73.9307975769043,"[80, 20, 1, 3, 35]"
On,Off,On,On,Off,Off,On,Off,Off,On,On,Off,On,On,Off,Off,On,On,Off,On,0.0,0,0,0,0,0,73.97884893417358,"[80, 20, 1, 3, 35]"
