fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,Off,Off,On,On,Off,Off,On,Off,On,On,On,Off,On,On,On,Off,On,Off,0.09430241584777832,1.4617278575897217,515000,34.0559618473053,2152160,10605,38.10176110267639,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,On,On,Off,On,On,Off,Off,Off,On,On,On,On,Off,Off,On,0.07854676246643066,1.4912266731262207,523192,34.611236333847046,2152160,10605,38.66260552406311,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,On,On,Off,0.08233428001403809,0.2898123264312744,141496,2.0930354595184326,356663,1676,4.8674139976501465,"[10, 50, 6, 4, 5]"
Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,0.08459949493408203,0.3150370121002197,145520,2.073545217514038,356663,1676,4.977654218673706,"[10, 50, 6, 4, 5]"
Off,On,Off,On,On,Off,Off,Off,Off,On,On,Off,Off,On,On,On,Off,Off,On,Off,0.09608912467956543,0.28851866722106934,144448,2.094569683074951,356663,1676,4.91271710395813,"[10, 50, 6, 4, 5]"
On,Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,Off,Off,On,Off,0.0849606990814209,0.2979118824005127,144448,2.069098711013794,356663,1676,4.788288354873657,"[10, 50, 6, 4, 5]"
On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,Off,On,On,Off,On,Off,On,Off,0.0868828296661377,0.2613656520843506,145520,2.0719430446624756,356663,1676,4.84666109085083,"[10, 50, 6, 4, 5]"
On,On,On,Off,On,On,Off,Off,On,Off,On,Off,On,On,Off,On,On,On,On,Off,0.09938764572143555,0.2749772071838379,141424,2.0797367095947266,356663,1676,4.951139688491821,"[10, 50, 6, 4, 5]"
On,On,Off,Off,On,Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,On,Off,Off,On,0.10139060020446777,0.24802589416503906,141424,2.0835814476013184,356663,1676,4.82642126083374,"[10, 50, 6, 4, 5]"
On,Off,Off,Off,On,Off,Off,On,On,Off,On,Off,On,Off,Off,On,On,On,Off,Off,0.09308910369873047,0.3103513717651367,141496,2.0698931217193604,356663,1676,4.953479766845703,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,On,On,Off,0.0800175666809082,0.7266077995300293,207240,4.154455900192261,828309,4503,7.395602226257324,"[10, 50, 6, 4, 10]"
Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,0.08525991439819336,0.7656874656677246,207208,4.139636754989624,828309,4503,7.486342191696167,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,Off,Off,On,Off,0.08196496963500977,0.7589685916900635,205976,4.1403491497039795,828309,4503,7.4504923820495605,"[10, 50, 6, 4, 10]"
On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,Off,On,On,Off,On,Off,On,Off,0.08576488494873047,0.7293741703033447,207208,4.14104437828064,828309,4503,7.468369007110596,"[10, 50, 6, 4, 10]"
Off,Off,On,Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,On,On,Off,0.09130096435546875,0.7182948589324951,242680,6.785320997238159,866233,4708,10.0805184841156,"[10, 50, 6, 4, 25]"
On,Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,Off,Off,On,Off,0.07990741729736328,0.7309906482696533,241456,6.7533018589019775,866233,4708,10.014309406280518,"[10, 50, 6, 4, 25]"
On,Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,Off,Off,On,Off,0.08839178085327148,1.5234863758087158,521896,34.119893074035645,2152160,10605,38.20960307121277,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,Off,On,Off,Off,On,On,On,Off,On,On,Off,On,Off,On,On,0.08832669258117676,0.7063999176025391,207208,4.163804769515991,828309,4503,7.370331764221191,"[10, 50, 6, 4, 10]"
Off,On,On,Off,On,On,On,Off,Off,Off,On,On,Off,On,Off,Off,Off,Off,On,On,0.09038662910461426,0.8280961513519287,205976,4.132298469543457,828309,4503,7.501335382461548,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,Off,Off,On,Off,Off,Off,On,On,Off,Off,On,On,On,Off,On,On,0.09352660179138184,0.7339072227478027,207208,4.115918397903442,828309,4503,7.436285972595215,"[10, 50, 6, 4, 10]"
Off,On,Off,Off,Off,Off,On,On,On,Off,Off,On,On,On,Off,On,On,On,Off,On,0.0852515697479248,0.7912318706512451,207240,4.131943225860596,828309,4503,7.403839111328125,"[10, 50, 6, 4, 10]"
On,On,On,On,On,On,Off,Off,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,On,0.09488439559936523,0.7865607738494873,205976,4.1440699100494385,828309,4503,7.4938578605651855,"[10, 50, 6, 4, 10]"
Off,On,Off,Off,On,Off,On,Off,Off,On,On,On,On,Off,On,On,On,Off,On,On,0.09876871109008789,0.728825569152832,207208,4.135409355163574,828309,4503,7.384437561035156,"[10, 50, 6, 4, 10]"
Off,On,Off,Off,Off,Off,On,On,On,Off,Off,On,On,On,Off,On,On,On,Off,On,0.09123921394348145,0.7106156349182129,242680,6.7851316928863525,866233,4708,10.048685789108276,"[10, 50, 6, 4, 25]"
Off,Off,On,Off,Off,Off,On,Off,Off,On,On,On,Off,On,On,Off,On,Off,On,On,0.08518552780151367,0.6916322708129883,242608,6.747386932373047,866233,4708,9.991294145584106,"[10, 50, 6, 4, 25]"
Off,On,On,Off,On,On,On,Off,Off,Off,On,On,Off,On,Off,Off,Off,Off,On,On,0.09384703636169434,0.6913058757781982,241456,6.757036209106445,866233,4708,9.987679958343506,"[10, 50, 6, 4, 25]"
Off,Off,On,Off,Off,Off,On,Off,Off,On,On,On,Off,On,On,Off,On,Off,On,On,0.08321189880371094,1.5284979343414307,515000,34.10230016708374,2152160,10605,38.1458740234375,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,Off,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,On,Off,0.07096552848815918,0.7115671634674072,245624,6.7691755294799805,866233,4708,10.05032992362976,"[10, 50, 6, 4, 25]"
Off,On,Off,On,On,Off,Off,On,Off,On,On,Off,On,Off,Off,On,On,On,On,On,0.08375954627990723,0.7049610614776611,246776,6.754938125610352,866233,4708,9.969836473464966,"[10, 50, 6, 4, 25]"
On,Off,On,On,Off,Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,On,On,Off,Off,0.09478425979614258,0.6871473789215088,242608,6.749951362609863,866233,4708,9.964049100875854,"[10, 50, 6, 4, 25]"
Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,Off,Off,Off,On,Off,Off,On,Off,0.09601807594299316,0.714463472366333,241456,6.765586853027344,866233,4708,10.067041873931885,"[10, 50, 6, 4, 25]"
Off,Off,Off,On,On,Off,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,On,Off,0.09054732322692871,1.528127908706665,522088,34.054802656173706,2152160,10605,38.15912842750549,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,Off,On,Off,On,On,Off,On,Off,Off,On,On,On,On,On,0.084808349609375,1.4910433292388916,523384,34.08700084686279,2152160,10605,38.32140922546387,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,Off,On,On,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,0.08691191673278809,1.4819591045379639,513896,34.092424631118774,2152160,10605,38.10983753204346,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,On,On,On,Off,On,Off,Off,On,On,Off,On,Off,On,Off,0.09963321685791016,1.510404348373413,515192,34.09631276130676,2152160,10605,38.12488627433777,"[10, 50, 6, 4, 50]"
On,On,On,On,On,Off,On,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,On,0.08471441268920898,1.528937816619873,523192,34.00005340576172,2152160,10605,38.10184168815613,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,On,Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,0.0886526107788086,1.4927682876586914,523192,34.078362226486206,2152160,10605,38.19372344017029,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,Off,0.09094071388244629,0.30469179153442383,141424,2.1040356159210205,356663,1676,5.013416051864624,"[10, 50, 6, 4, 5]"
On,On,Off,Off,On,On,Off,Off,On,On,Off,On,On,Off,Off,Off,On,On,Off,On,0.08925080299377441,0.298445463180542,141424,2.076605796813965,356663,1676,4.890746831893921,"[10, 50, 6, 4, 5]"
On,Off,On,On,Off,Off,Off,Off,On,Off,Off,On,On,On,Off,On,Off,On,On,On,0.08066391944885254,0.31531524658203125,144448,2.080369710922241,356663,1676,4.853393793106079,"[10, 50, 6, 4, 5]"
On,Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,On,On,Off,Off,On,On,On,0.09374380111694336,0.26385927200317383,144448,2.0657029151916504,356663,1676,4.887804269790649,"[10, 50, 6, 4, 5]"
On,On,On,On,Off,Off,On,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,Off,0.08298826217651367,0.2875211238861084,144448,2.0843541622161865,356663,1676,4.828023195266724,"[10, 50, 6, 4, 5]"
