8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
0,p8x8,0,0.7178658312480799,0,12,0,7,16.60761245102158,-1:1,spatial,1,326,2,hex,46,0,0,none,0,14.43,14.43,1050.17325,82.971903,34859.036213,83.68,14.583706378936768,"['Action', '1080p', 60, '20s']"
1,all,2,1.9153666297934544,1,10,0,-6,39.284584335248084,4:4,spatial,0,196,0,esa,28,1,0,vbr,1,23.64,23.64,1342.639594,5.310132,2230.949011,51.04,23.781827688217163,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",2,1.270976006081585,1,10,1,-1,3.067746982502859,2:-2,auto,1,368,1,hex,46,0,0,none,0,22.86,22.86,1150.0,157.019227,65968.58374,52.65,23.038018703460693,"['Action', '1080p', 60, '20s']"
0,p4x4,0,1.911532185562115,0,13,1,-9,1.2134050920272186,5:5,auto,0,79,3,umh,16,0,0,cbr,0,22.82,22.82,1420.113935,420.365829,176608.552244,53.11,23.02969264984131,"['Action', '1080p', 60, '20s']"
0,none,3,1.2932080819328864,0,14,1,5,16.60761245102158,-1:1,spatial,1,475,0,umh,17,1,1,vbr,0,14.76,14.76,1314.9729,77.443061,32536.200458,82.12,14.928383827209473,"['Action', '1080p', 60, '20s']"
1,p4x4,0,1.195380953907058,0,12,0,7,29.585346184273632,0:0,auto,1,326,0,hex,22,0,1,vbr,1,10.5,10.5,993.333333,22.281029,9360.942214,115.89,10.653847217559814,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",0,0.9936193775202311,0,12,0,-4,26.763382110464214,6:-6,spatial,1,326,2,hex,4,0,0,none,0,16.16,16.16,1205.074257,31.143695,13084.419548,74.66,16.314988136291504,"['Action', '1080p', 60, '20s']"
0,none,0,0.7178658312480799,1,6,1,7,16.60761245102158,-1:1,spatial,1,385,3,dia,46,0,0,none,1,12.18,12.18,946.633826,54.279998,22804.688634,99.72,12.342288970947266,"['Action', '1080p', 60, '20s']"
1,p4x4,3,1.2932080819328864,0,14,1,7,16.60761245102158,5:5,spatial,1,326,0,umh,17,0,1,vbr,1,14.94,14.94,1338.15261,76.24728,32033.81636,81.15,15.10085678100586,"['Action', '1080p', 60, '20s']"
0,none,0,1.195380953907058,0,12,0,5,29.585346184273632,-1:1,auto,1,475,0,esa,45,0,1,vbr,0,30.28,30.28,1401.915456,21.815968,9165.555774,39.79,30.42188549041748,"['Action', '1080p', 60, '20s']"
0,p4x4,3,0.4498679550631097,0,16,1,0,28.58475890485096,-4:4,none,1,187,0,umh,17,1,0,none,0,13.02,13.02,1074.423963,28.046117,11783.032191,92.77,13.16913914680481,"['Action', '1080p', 60, '20s']"
1,p8x8,3,0.4498679550631097,0,12,1,0,28.58475890485096,-4:4,none,1,445,0,hex,12,0,0,none,1,11.89,11.89,962.405383,26.574157,11164.616708,102.17,12.035107374191284,"['Action', '1080p', 60, '20s']"
1,none,3,0.4498679550631097,0,13,1,5,28.58475890485096,-4:4,auto,1,79,0,umh,22,1,1,vbr,0,13.86,13.86,1109.163059,23.683982,9950.365777,87.08,14.01707935333252,"['Action', '1080p', 60, '20s']"
1,p8x8,3,1.195380953907058,1,14,1,0,29.585346184273632,0:0,none,1,475,0,umh,12,0,0,none,0,14.0,14.0,1236.642857,16.373006,6878.800954,86.22,14.140718936920166,"['Action', '1080p', 60, '20s']"
1,p8x8,0,1.2932080819328864,0,16,0,7,16.60761245102158,-4:4,none,1,445,4,hex,12,1,1,vbr,1,14.07,14.07,1116.346837,90.895358,38187.922301,85.85,14.223151206970215,"['Action', '1080p', 60, '20s']"
0,none,3,0.4498679550631097,0,12,1,0,28.58475890485096,-1:1,spatial,1,326,0,umh,17,1,0,none,0,12.63,12.63,1038.954869,23.888564,10036.317028,96.12,12.792688369750977,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",3,0.4498679550631097,0,6,1,-4,28.58475890485096,6:6,none,1,250,3,hex,22,0,0,none,1,15.83,15.83,1370.941251,22.792707,9575.914097,76.48,15.982834577560425,"['Action', '1080p', 60, '20s']"
0,p4x4,0,1.270976006081585,1,12,1,0,26.763382110464214,-4:4,auto,1,445,0,hex,17,0,0,vbr,1,11.02,11.02,937.205082,22.978112,9653.80832,109.74,11.163367986679077,"['Action', '1080p', 60, '20s']"
1,p8x8,3,0.9936193775202311,1,16,1,-4,28.58475890485096,-4:4,none,1,385,0,umh,4,0,0,none,1,13.55,13.55,1156.531365,19.091841,8021.066711,89.5,13.6935453414917,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",0,0.4498679550631097,0,6,1,2,26.763382110464214,6:-6,spatial,1,445,3,dia,12,1,0,none,0,14.55,14.55,1244.398625,25.726851,10808.637816,83.27,14.708817720413208,"['Action', '1080p', 60, '20s']"
0,p8x8,3,0.4498679550631097,0,16,1,0,49.801977859487394,0:0,temporal,1,321,1,umh,12,0,1,cbr,0,17.38,17.38,440.04603,2.842628,1194.274838,69.34,17.53253173828125,"['Action', '1080p', 60, '20s']"
1,p8x8,0,0.7963403618786435,2,12,0,4,28.58475890485096,-4:4,none,1,445,0,dia,60,1,0,none,0,37.06,37.06,725.769023,20.178792,8477.728206,32.47,37.19896984100342,"['Action', '1080p', 60, '20s']"
1,none,3,1.195380953907058,1,6,1,-4,26.763382110464214,0:0,spatial,1,475,3,dia,22,0,1,vbr,0,11.85,11.85,833.755274,20.575159,8644.254146,102.51,11.997953653335571,"['Action', '1080p', 60, '20s']"
1,"p8x8,b8x8,i8x8,i4x4",0,0.9936193775202311,0,14,1,1,29.585346184273632,6:-6,auto,1,385,0,umh,4,0,0,none,1,16.42,16.42,1311.266748,22.145485,9303.996105,73.41,16.57677721977234,"['Action', '1080p', 60, '20s']"
0,none,3,0.4498679550631097,0,16,1,0,28.58475890485096,-4:4,none,1,475,3,umh,17,0,1,none,0,12.92,12.92,1010.139319,27.8247,11690.008352,93.92,13.0741286277771,"['Action', '1080p', 60, '20s']"
1,p4x4,3,1.195380953907058,1,6,1,-4,26.763382110464214,0:0,temporal,1,187,0,dia,22,0,0,vbr,0,11.26,11.26,932.85968,21.674769,9106.234105,108.0,11.402549743652344,"['Action', '1080p', 60, '20s']"
1,none,3,1.195380953907058,2,6,1,-4,26.763382110464214,0:0,spatial,1,475,3,dia,22,0,1,vbr,0,29.05,29.05,428.812392,21.155746,8888.17668,41.48,29.208759546279907,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",0,1.270976006081585,1,6,1,-4,26.763382110464214,6:6,auto,1,111,3,hex,22,0,1,vbr,1,13.71,13.71,1158.716265,22.511359,9457.711094,88.04,13.86608338356018,"['Action', '1080p', 60, '20s']"
0,p4x4,0,0.4498679550631097,1,12,1,0,3.1633693795427043,-4:4,none,1,445,0,hex,17,0,0,none,1,13.63,13.63,1353.925165,197.666327,83045.674473,88.84,13.80404543876648,"['Action', '1080p', 60, '20s']"
0,p4x4,3,1.270976006081585,0,9,1,0,26.763382110464214,-4:4,auto,1,445,0,hex,17,0,0,none,1,10.93,10.93,1034.766697,27.045711,11362.730895,110.8,11.065720319747925,"['Action', '1080p', 60, '20s']"
1,p4x4,0,0.4498679550631097,0,12,0,7,28.58475890485096,-4:4,none,1,445,0,hex,17,0,0,none,1,11.51,11.51,910.338836,27.178137,11418.367222,105.48,11.66333794593811,"['Action', '1080p', 60, '20s']"
0,p4x4,3,1.195380953907058,0,4,1,0,29.585346184273632,0:0,auto,1,326,0,hex,22,0,1,vbr,1,10.01,10.01,963.636364,16.21444,6812.182724,121.63,10.156344175338745,"['Action', '1080p', 60, '20s']"
1,all,0,1.2932080819328864,0,12,0,7,16.60761245102158,-1:1,spatial,1,326,0,hex,22,0,1,vbr,1,20.3,20.3,1377.73399,70.309335,29539.103747,59.33,20.441450119018555,"['Action', '1080p', 60, '20s']"
1,p4x4,0,1.195380953907058,0,12,0,7,29.585346184273632,0:0,auto,1,326,0,hex,17,1,1,vbr,1,10.52,10.52,940.969582,22.281029,9360.942214,115.64,10.676469326019287,"['Action', '1080p', 60, '20s']"
0,none,0,1.270976006081585,1,6,1,-4,16.60761245102158,6:6,auto,1,250,1,dia,46,0,0,vbr,1,17.92,17.92,571.316964,59.630581,25052.63237,67.32,18.070926427841187,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",0,0.7178658312480799,1,6,1,7,26.763382110464214,-1:1,spatial,1,385,3,hex,22,0,0,none,0,13.31,13.31,1183.020285,20.382332,8563.241526,90.75,13.459572315216064,"['Action', '1080p', 60, '20s']"
0,none,3,0.7178658312480799,1,12,1,1,28.58475890485096,-4:4,none,1,385,3,hex,17,0,0,none,1,11.89,11.89,846.005046,18.243448,7664.631057,102.07,12.045097351074219,"['Action', '1080p', 60, '20s']"
0,p4x4,0,0.4498679550631097,0,6,1,7,16.60761245102158,-1:1,spatial,1,445,0,dia,46,0,0,none,1,12.47,12.47,1055.894146,70.427121,29588.589423,97.47,12.631261825561523,"['Action', '1080p', 60, '20s']"
1,p4x4,3,0.4498679550631097,0,12,1,0,28.58475890485096,-4:4,none,1,445,0,hex,12,0,0,none,1,10.85,10.85,962.211982,26.510573,11137.903387,111.47,10.97904348373413,"['Action', '1080p', 60, '20s']"
0,p8x8,3,0.4498679550631097,0,12,1,0,2.0721483332371533,-4:4,none,1,414,0,hex,17,0,0,none,1,19.59,19.59,1205.053599,324.096933,136163.042535,61.75,19.79422616958618,"['Action', '1080p', 60, '20s']"
1,p8x8,0,1.195380953907058,1,12,1,7,29.585346184273632,0:0,auto,1,326,0,hex,22,0,1,vbr,0,12.0,12.0,1038.416667,16.320356,6856.681288,100.7,12.1503746509552,"['Action', '1080p', 60, '20s']"
1,p4x4,2,1.195380953907058,0,14,1,0,29.585346184273632,0:0,none,0,475,0,umh,12,0,0,none,1,12.77,12.77,1032.811276,22.555037,9476.061678,94.67,12.908596277236938,"['Action', '1080p', 60, '20s']"
