fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,Off,On,On,Off,Off,On,On,On,Off,On,On,On,On,On,On,On,On,On,0.07243609428405762,1.5487864017486572,523384,34.119094371795654,2152160,10605,38.4226610660553,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,0.09857320785522461,1.5613603591918945,513704,34.08353400230408,2152160,10605,38.293782234191895,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,Off,Off,Off,Off,On,On,0.08394765853881836,1.4950885772705078,513896,34.10215878486633,2152160,10605,38.27666401863098,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,On,Off,Off,Off,On,On,Off,On,On,On,On,On,Off,Off,0.09298968315124512,1.508561611175537,523192,34.13917279243469,2152160,10605,38.34463047981262,"[10, 50, 6, 4, 50]"
On,On,On,Off,On,Off,Off,Off,Off,Off,On,On,On,Off,On,Off,On,Off,Off,On,0.08298230171203613,1.510096549987793,515000,34.05836582183838,2152160,10605,38.2194619178772,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,Off,On,On,Off,0.09310531616210938,1.5100619792938232,522088,34.09481859207153,2152160,10605,38.19298338890076,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,Off,On,Off,On,Off,Off,Off,On,On,On,Off,Off,On,Off,On,0.08985710144042969,1.528383493423462,513704,34.12420129776001,2152160,10605,38.25306797027588,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,On,Off,On,Off,On,On,On,Off,Off,Off,On,On,Off,On,Off,0.08652520179748535,1.5398027896881104,523384,34.06638789176941,2152160,10605,38.30351376533508,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,On,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,0.08318614959716797,1.5286865234375,515192,34.12790322303772,2152160,10605,38.31770968437195,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,0.09437942504882812,1.500716209411621,521896,34.12265133857727,2152160,10605,38.26199436187744,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,On,On,Off,On,On,Off,On,Off,On,On,Off,Off,On,On,0.08820819854736328,1.5209763050079346,522088,34.05811858177185,2152160,10605,38.383724212646484,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,Off,On,On,Off,Off,0.08929824829101562,1.5190880298614502,515000,34.09788751602173,2152160,10605,38.19055104255676,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,0.07506799697875977,1.4934618473052979,523192,34.03844213485718,2152160,10605,38.30770564079285,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,On,Off,0.0885779857635498,1.5492103099822998,513896,34.185290813446045,2152160,10605,38.47992491722107,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,Off,On,On,Off,On,On,0.09070086479187012,1.4684569835662842,515192,34.07927584648132,2152160,10605,38.16565251350403,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,On,Off,Off,On,On,Off,On,On,On,On,Off,Off,On,Off,Off,0.08402681350708008,1.513946771621704,521896,34.03239583969116,2152160,10605,38.15185618400574,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,On,On,Off,On,On,Off,On,Off,Off,On,On,Off,Off,Off,On,0.09311223030090332,1.4829177856445312,513704,34.064470529556274,2152160,10605,38.202423095703125,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,On,On,Off,Off,On,On,On,Off,0.0897684097290039,1.4762208461761475,523384,34.16239070892334,2152160,10605,38.29280352592468,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,Off,On,Off,On,On,Off,Off,Off,On,Off,Off,On,On,Off,On,0.09823894500732422,1.5214052200317383,523192,34.16526913642883,2152160,10605,38.41056680679321,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,On,Off,On,Off,Off,On,On,On,Off,On,On,Off,Off,On,Off,0.08487558364868164,1.4858224391937256,513896,34.0587100982666,2152160,10605,38.191049575805664,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,Off,On,Off,On,Off,Off,On,Off,Off,On,On,On,Off,Off,0.10016632080078125,1.4790356159210205,523384,34.09813714027405,2152160,10605,38.2925591468811,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,On,Off,Off,On,Off,Off,Off,On,Off,Off,On,Off,On,On,On,0.09254813194274902,1.5322415828704834,521896,34.07347083091736,2152160,10605,38.29227614402771,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,On,Off,On,Off,On,On,On,On,Off,Off,On,On,On,On,0.08879232406616211,1.4702174663543701,523192,34.083906412124634,2152160,10605,38.25148582458496,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,Off,Off,Off,Off,Off,Off,On,On,Off,On,On,On,On,Off,On,0.0992743968963623,1.5239660739898682,523192,34.101638078689575,2152160,10605,38.276753664016724,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,0.0998680591583252,1.5520617961883545,523192,34.06481075286865,2152160,10605,38.293418645858765,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,On,On,On,Off,On,On,On,On,On,Off,On,On,On,0.09605932235717773,1.5351040363311768,522088,34.080453395843506,2152160,10605,38.31386971473694,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,On,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,On,On,0.11040520668029785,1.4960410594940186,523192,34.18810963630676,2152160,10605,38.36785173416138,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,On,On,Off,On,On,On,On,On,Off,Off,Off,Off,Off,Off,On,0.09673595428466797,1.4995975494384766,513704,34.0641188621521,2152160,10605,38.239729166030884,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,Off,On,On,0.11105632781982422,1.5672032833099365,523192,34.122145891189575,2152160,10605,38.46368598937988,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,On,On,Off,On,Off,Off,Off,On,Off,On,On,On,Off,Off,0.09583282470703125,1.4733035564422607,515192,34.10868239402771,2152160,10605,38.350048303604126,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,On,Off,On,On,On,On,On,0.1083531379699707,1.5063769817352295,523192,34.16281461715698,2152160,10605,38.47269606590271,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,Off,Off,On,On,On,On,On,Off,Off,Off,On,Off,Off,Off,On,0.10213685035705566,1.5380120277404785,513896,34.02476191520691,2152160,10605,38.27797484397888,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,Off,Off,On,Off,Off,On,Off,On,Off,Off,On,On,Off,Off,On,0.10299563407897949,1.4972131252288818,515192,34.87700629234314,2152160,10605,39.04518008232117,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,Off,On,On,On,Off,On,On,On,On,Off,Off,On,On,On,0.08182859420776367,1.5175237655639648,522088,34.10671949386597,2152160,10605,38.27300429344177,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,On,On,On,Off,Off,On,On,Off,Off,On,On,Off,On,Off,0.09619927406311035,1.5240070819854736,515192,34.087284326553345,2152160,10605,38.34736371040344,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,Off,On,On,On,Off,On,On,On,On,On,On,On,On,On,0.09780693054199219,1.4884283542633057,523384,34.13574838638306,2152160,10605,38.31118845939636,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,On,On,On,0.08959126472473145,1.5420496463775635,515000,34.050445795059204,2152160,10605,38.33739113807678,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,On,On,Off,On,On,Off,Off,Off,On,On,Off,Off,On,On,0.09581255912780762,1.5185010433197021,522088,34.08136487007141,2152160,10605,38.395408153533936,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,Off,On,Off,Off,On,Off,Off,Off,0.09972095489501953,1.5186395645141602,515000,34.12248635292053,2152160,10605,38.41288375854492,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,Off,On,Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,0.1004171371459961,1.4968421459197998,521896,34.127995014190674,2152160,10605,38.32432007789612,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,On,Off,Off,Off,Off,On,On,On,Off,On,Off,Off,On,Off,0.08751225471496582,1.5183391571044922,513704,34.121620416641235,2152160,10605,38.338242292404175,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,Off,Off,Off,Off,Off,On,Off,On,Off,On,On,Off,Off,On,Off,0.09483027458190918,1.5431063175201416,513704,34.21802067756653,2152160,10605,38.5180926322937,"[10, 50, 6, 4, 50]"
