8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
1,all,2,0.4952302428088933,0,12,0,-9,47.77973048708841,6:6,spatial,1,18,0,dia,57,1,1,vbr,1,8.88,8.88,729.842342,3.061563,1286.256539,137.32,9.100354671478271,"['Action', '1080p', 60, '20s']"
0,none,1,0.5311101847740172,1,16,0,1,44.94147189331345,5:5,auto,1,387,0,hex,34,0,1,vbr,0,9.73,9.73,720.24666,2.957485,1242.530063,124.5,9.91094970703125,"['Action', '1080p', 60, '20s']"
1,p8x8,0,1.8460306640026705,1,12,0,2,43.08173827442382,5:-5,none,0,413,0,dia,59,1,0,vbr,1,10.22,10.22,863.307241,4.867914,2045.159766,118.43,10.416650772094727,"['Action', '1080p', 60, '20s']"
0,p8x8,2,0.08518786487335483,0,16,1,9,45.47513454975919,6:6,none,1,459,0,dia,49,1,1,cbr,1,10.12,10.12,897.332016,6.788265,2851.958016,119.53,10.324798345565796,"['Action', '1080p', 60, '20s']"
0,all,0,0.8780766988698365,1,4,0,1,41.71549002505359,-4:4,temporal,1,42,0,hex,17,0,0,cbr,1,11.55,11.55,864.069264,5.15372,2165.23549,105.19,11.778901100158691,"['Action', '1080p', 60, '20s']"
0,all,1,0.8278210494338785,1,5,1,-2,47.73591609608681,6:-6,none,1,476,0,esa,62,0,1,none,1,58.88,58.88,1152.598505,4.203144,1765.869486,20.38,59.087241649627686,"['Action', '1080p', 60, '20s']"
0,p4x4,1,1.0508908280199776,0,0,1,-5,48.31903120003515,6:6,spatial,0,288,0,dia,49,1,0,cbr,0,9.45,9.45,438.306878,2.545246,1069.335809,128.86,9.630851745605469,"['Action', '1080p', 60, '20s']"
0,"p8x8,b8x8,i8x8,i4x4",3,0.5822383113294063,0,16,0,-11,44.433653947847326,5:-5,spatial,1,410,0,hex,9,0,0,none,1,10.61,10.61,944.674835,4.689942,1970.388348,114.53,10.808164119720459,"['Action', '1080p', 60, '20s']"
1,all,1,1.7392191303907336,0,12,0,-7,45.72228595225737,-6:6,none,1,321,0,dia,6,1,1,cbr,0,12.91,12.91,1090.782339,6.791549,2853.337515,93.56,13.132859230041504,"['Action', '1080p', 60, '20s']"
1,none,1,1.6191857109268641,0,6,1,-3,31.935095782882208,5:5,none,0,146,0,dia,53,0,0,none,1,11.03,11.03,878.513146,16.340314,6865.066062,109.69,11.231563329696655,"['Action', '1080p', 60, '20s']"
1,p4x4,3,1.3640943680293947,0,15,1,0,50.58542579761655,6:6,spatial,0,382,0,umh,37,1,1,none,1,12.07,12.07,925.932063,1.763794,741.023827,100.08,12.27525019645691,"['Action', '1080p', 60, '20s']"
1,all,3,1.6934771041216787,1,3,0,-6,35.19361822253452,-5:5,temporal,1,335,0,hex,56,0,0,none,0,12.98,12.98,1133.513097,9.941866,4176.882201,93.41,13.17505955696106,"['Action', '1080p', 60, '20s']"
0,p4x4,3,0.17505746114775889,0,14,0,6,49.74548514069662,5:5,spatial,1,12,0,dia,53,0,1,none,0,8.52,8.52,445.539906,1.722043,723.482993,143.19,8.726617574691772,"['Action', '1080p', 60, '20s']"
1,p8x8,2,1.498649010531562,0,14,0,7,23.075435222251137,-5:5,temporal,0,113,0,dia,57,0,0,vbr,0,13.85,13.85,993.357401,39.908751,16766.888134,87.52,14.079703330993652,"['Action', '1080p', 60, '20s']"
0,none,1,1.1914392668131748,0,7,1,-10,46.74945452220714,4:-4,temporal,0,345,0,dia,23,0,0,vbr,1,9.0,9.0,732.444444,3.605804,1514.908823,135.51,9.212072610855103,"['Action', '1080p', 60, '20s']"
0,all,3,1.6840672099568197,0,7,0,12,49.274622928458875,-6:6,auto,1,3,0,umh,30,1,1,cbr,0,8.5,8.5,692.588235,2.848894,1196.907626,143.46,8.711012363433838,"['Action', '1080p', 60, '20s']"
