ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,0.09352231025695801,5.555182695388794,1252968,34.71429705619812,2152160,10605,42.87607002258301,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,On,On,On,On,Off,On,Off,On,0.09840059280395508,5.491608381271362,1251544,34.57640790939331,2152160,10605,42.698232889175415,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,On,On,Off,On,Off,On,On,Off,Off,On,On,On,On,On,On,0.1066277027130127,5.490191459655762,1248872,34.55772876739502,2152160,10605,42.69196438789368,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,On,Off,On,On,On,On,Off,On,Off,Off,On,On,On,On,Off,0.08927774429321289,5.556288957595825,1248872,34.771631717681885,2152160,10605,42.97656488418579,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,Off,On,On,On,On,Off,Off,Off,Off,On,On,On,Off,Off,0.08021402359008789,5.499050855636597,1251544,34.74635338783264,2152160,10605,42.712125062942505,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,Off,On,On,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,0.09724235534667969,5.505991220474243,1252968,34.76715064048767,2152160,10605,42.82791185379028,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,On,On,On,On,On,On,Off,On,On,Off,Off,On,On,Off,On,0.09978699684143066,5.501039266586304,1252968,34.68963980674744,2152160,10605,42.77734160423279,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,0.0846548080444336,5.497142314910889,1248872,34.75127410888672,2152160,10605,42.75392031669617,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,0.09052109718322754,5.488450527191162,1252968,34.61947417259216,2152160,10605,42.6232852935791,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,On,On,On,0.09524321556091309,5.5590550899505615,1248872,34.645161867141724,2152160,10605,42.72615432739258,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,On,Off,On,On,Off,On,On,On,Off,On,Off,On,Off,Off,Off,0.09777069091796875,5.502509355545044,1255640,34.586158990859985,2152160,10605,42.678367614746094,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,Off,Off,Off,Off,On,On,On,On,Off,On,Off,Off,Off,On,On,0.0920553207397461,5.497595548629761,1255640,34.77375507354736,2152160,10605,42.93270182609558,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,On,On,On,On,Off,On,On,Off,On,On,On,On,On,On,Off,0.09688496589660645,5.550523042678833,1248872,34.60661268234253,2152160,10605,42.67429995536804,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,On,On,On,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,On,0.08401679992675781,5.520596981048584,1248872,34.62872052192688,2152160,10605,42.72839713096619,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,Off,On,Off,Off,On,Off,Off,On,On,Off,On,On,Off,Off,Off,0.08621621131896973,5.545051336288452,1248872,34.79188942909241,2152160,10605,42.840022563934326,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,On,Off,Off,On,On,0.07869076728820801,5.49407696723938,1248872,34.73520064353943,2152160,10605,42.80109262466431,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,On,On,Off,On,0.09045219421386719,5.509634971618652,1255640,34.754899978637695,2152160,10605,42.83239531517029,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,Off,On,On,On,On,On,On,Off,On,Off,Off,On,On,On,0.0962822437286377,5.495722770690918,1252968,34.57084369659424,2152160,10605,42.647817611694336,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,On,On,Off,On,Off,Off,On,Off,Off,On,On,Off,On,On,On,0.09319663047790527,5.480060577392578,1248872,34.749624252319336,2152160,10605,42.79425024986267,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,Off,On,On,On,On,On,On,On,Off,Off,On,On,Off,On,Off,0.10378837585449219,5.487583875656128,1248872,34.783737659454346,2152160,10605,42.83253335952759,"[10, 50, 6, 4, 50]"
On,On,On,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,On,On,Off,Off,0.09598875045776367,5.499667644500732,1252968,34.57498550415039,2152160,10605,42.69788408279419,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,Off,Off,On,Off,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,0.08690118789672852,5.549876689910889,1252968,34.62135410308838,2152160,10605,42.72109031677246,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,Off,Off,Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,0.09590864181518555,5.48356032371521,1255640,34.623857259750366,2152160,10605,42.61117887496948,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,On,Off,On,0.08412289619445801,5.518500089645386,1252968,34.58672857284546,2152160,10605,42.58736729621887,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,On,Off,On,0.09045624732971191,5.511482000350952,1252968,34.71951866149902,2152160,10605,42.83711075782776,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,On,On,On,Off,On,Off,Off,On,On,On,Off,On,On,Off,0.09143757820129395,5.491447687149048,1248872,34.75647306442261,2152160,10605,42.80498647689819,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,Off,On,On,On,On,On,On,On,On,Off,On,On,Off,On,On,0.08629226684570312,5.552497863769531,1248872,34.787105560302734,2152160,10605,42.8712420463562,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,0.08318281173706055,5.517901659011841,1252968,34.59528470039368,2152160,10605,42.726567029953,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,On,On,On,On,Off,On,Off,Off,Off,On,On,On,Off,Off,0.09269976615905762,5.515676975250244,1248872,34.824373722076416,2152160,10605,42.94567823410034,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,On,Off,Off,On,On,On,On,On,On,On,On,On,Off,Off,On,0.10967445373535156,5.602186918258667,1248872,34.71071720123291,2152160,10605,42.94205164909363,"[10, 50, 6, 4, 50]"
