ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,On,On,Off,On,Off,On,On,On,Off,On,On,On,Off,On,Off,On,On,On,On,0.08916187286376953,0.27695775032043457,114152,0.2911868095397949,140021,719,3.1536266803741455,"[80, 35, 2, 2, 15]"
Off,On,On,On,Off,On,Off,On,On,Off,On,Off,Off,On,On,On,On,On,On,Off,0.08984899520874023,0.24701619148254395,108632,0.3142251968383789,140021,719,3.1670591831207275,"[80, 35, 2, 2, 15]"
Off,Off,Off,On,Off,Off,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,0.0903158187866211,0.24601292610168457,114152,0.30950117111206055,140021,719,3.1597776412963867,"[80, 35, 2, 2, 15]"
Off,Off,On,On,On,Off,On,On,On,On,Off,On,On,On,Off,On,Off,Off,On,Off,0.08837032318115234,0.25226664543151855,110056,0.29619574546813965,140021,719,3.1224117279052734,"[80, 35, 2, 2, 15]"
Off,Off,On,Off,Off,On,On,On,Off,On,Off,On,On,Off,Off,Off,On,Off,Off,On,0.09087896347045898,0.23267555236816406,114152,0.3173809051513672,140021,719,3.147420644760132,"[80, 35, 2, 2, 15]"
On,On,On,Off,Off,Off,On,On,On,Off,Off,On,Off,On,On,Off,On,On,On,Off,0.09160685539245605,0.24522662162780762,114152,0.31815266609191895,140021,719,3.093183755874634,"[80, 35, 2, 2, 15]"
Off,On,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,Off,0.09120464324951172,0.24798202514648438,112728,0.29526567459106445,140021,719,3.140455961227417,"[80, 35, 2, 2, 15]"
Off,Off,On,On,On,On,On,Off,On,On,On,Off,Off,Off,Off,Off,On,On,On,On,0.08682417869567871,0.2636139392852783,114152,0.3133833408355713,140021,719,3.0638976097106934,"[80, 35, 2, 2, 15]"
Off,On,Off,On,Off,Off,Off,On,Off,On,Off,On,Off,Off,Off,On,Off,Off,On,Off,0.07943511009216309,0.24106860160827637,108632,0.3097860813140869,140021,719,3.086836814880371,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,On,On,Off,On,On,On,On,On,0.08954787254333496,0.2455580234527588,110056,0.29984045028686523,140021,719,3.0359623432159424,"[80, 35, 2, 2, 15]"
Off,On,On,Off,Off,On,On,Off,On,Off,Off,On,On,On,On,On,On,Off,On,On,0.10243058204650879,0.23201298713684082,110056,0.3122572898864746,140021,719,3.136259078979492,"[80, 35, 2, 2, 15]"
On,Off,Off,On,Off,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,Off,On,0.08273434638977051,0.256772518157959,110056,0.30841732025146484,140021,719,3.1732139587402344,"[80, 35, 2, 2, 15]"
On,Off,Off,On,On,On,On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,0.0860743522644043,0.26546335220336914,114152,0.30242395401000977,140021,719,3.1202280521392822,"[80, 35, 2, 2, 15]"
On,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,0.08880400657653809,0.25612664222717285,110056,0.31705594062805176,140021,719,3.085878610610962,"[80, 35, 2, 2, 15]"
Off,Off,On,On,On,On,On,On,Off,Off,On,On,On,Off,On,Off,Off,Off,Off,On,0.09750580787658691,0.2501707077026367,114152,0.2983384132385254,140021,719,3.0670173168182373,"[80, 35, 2, 2, 15]"
Off,On,On,On,Off,Off,On,Off,On,Off,Off,Off,On,On,On,Off,Off,On,On,On,0.09060239791870117,0.252399206161499,114152,0.2986640930175781,140021,719,3.1453323364257812,"[80, 35, 2, 2, 15]"
Off,On,On,On,Off,On,Off,On,On,On,Off,On,Off,On,On,Off,On,Off,On,Off,0.09764719009399414,0.24512815475463867,112728,0.29614973068237305,140021,719,3.0244007110595703,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,On,On,On,Off,Off,On,On,On,Off,On,On,On,Off,Off,Off,Off,0.09691548347473145,0.24758577346801758,110056,0.3034231662750244,140021,719,3.1282219886779785,"[80, 35, 2, 2, 15]"
On,On,Off,Off,Off,On,On,Off,On,On,On,On,On,Off,On,Off,Off,On,Off,Off,0.09022951126098633,0.23827099800109863,114152,0.2930600643157959,140021,719,3.078444719314575,"[80, 35, 2, 2, 15]"
Off,Off,On,Off,On,On,Off,Off,On,On,Off,Off,Off,On,On,On,Off,Off,On,On,0.08138227462768555,0.24807500839233398,108632,0.32007813453674316,140021,719,3.2329654693603516,"[80, 35, 2, 2, 15]"
On,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,Off,On,Off,On,On,0.10057306289672852,0.2423877716064453,114152,0.3056304454803467,140021,719,3.141819953918457,"[80, 35, 2, 2, 15]"
Off,Off,Off,Off,Off,On,Off,On,On,On,Off,On,Off,Off,Off,Off,On,On,On,On,0.09896087646484375,0.2550368309020996,112728,0.30429530143737793,140021,719,3.2054553031921387,"[80, 35, 2, 2, 15]"
On,On,On,On,Off,On,Off,On,Off,On,Off,On,On,Off,On,On,Off,Off,On,On,0.08776283264160156,0.24290800094604492,110056,0.30780720710754395,140021,719,3.142962694168091,"[80, 35, 2, 2, 15]"
On,On,Off,On,On,Off,On,On,Off,On,On,Off,On,Off,Off,On,On,On,Off,On,0.1019279956817627,0.2518463134765625,110056,0.29970836639404297,140021,719,3.049173355102539,"[80, 35, 2, 2, 15]"
On,On,On,On,Off,Off,Off,On,Off,Off,Off,On,On,Off,Off,Off,Off,Off,Off,On,0.08224153518676758,0.24656033515930176,114152,0.3048684597015381,140021,719,2.9935455322265625,"[80, 35, 2, 2, 15]"
On,On,On,Off,On,Off,Off,On,On,Off,On,Off,Off,On,On,On,On,Off,Off,Off,0.0874631404876709,0.256300687789917,110056,0.30414438247680664,140021,719,3.126573324203491,"[80, 35, 2, 2, 15]"
Off,On,Off,Off,Off,On,Off,On,On,Off,Off,Off,Off,On,On,Off,On,On,Off,On,0.08614039421081543,0.2269914150238037,112728,0.3060317039489746,140021,719,3.0407700538635254,"[80, 35, 2, 2, 15]"
Off,Off,On,Off,Off,On,Off,On,On,Off,On,On,Off,On,On,Off,On,On,Off,On,0.1034994125366211,0.2579329013824463,112728,0.3106510639190674,140021,719,3.2112348079681396,"[80, 35, 2, 2, 15]"
On,Off,Off,On,On,Off,On,On,Off,Off,On,Off,Off,Off,On,On,On,Off,Off,Off,0.07030773162841797,0.2492690086364746,110056,0.291994571685791,140021,719,3.1063647270202637,"[80, 35, 2, 2, 15]"
Off,On,On,Off,On,On,Off,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,Off,0.08902812004089355,0.23218321800231934,112728,0.31296730041503906,140021,719,3.1237452030181885,"[80, 35, 2, 2, 15]"
Off,On,Off,Off,Off,On,On,On,On,On,On,On,On,Off,Off,On,On,On,Off,Off,0.10021018981933594,0.23618197441101074,110056,0.29296374320983887,140021,719,3.108729124069214,"[80, 35, 2, 2, 15]"
Off,Off,On,Off,On,On,On,On,On,On,Off,On,Off,Off,On,Off,On,On,On,On,0.0862586498260498,0.25564002990722656,114152,0.3034384250640869,140021,719,3.130403518676758,"[80, 35, 2, 2, 15]"
On,On,On,On,Off,On,On,On,Off,Off,On,On,On,Off,On,Off,On,Off,Off,On,0.09244561195373535,0.24895548820495605,114152,0.3014981746673584,140021,719,2.9701383113861084,"[80, 35, 2, 2, 15]"
Off,On,Off,On,Off,On,On,Off,On,Off,On,On,Off,Off,On,On,On,Off,On,Off,0.0998380184173584,0.25363779067993164,110056,0.3123772144317627,140021,719,3.109947681427002,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,On,On,Off,Off,On,On,On,0.08030915260314941,0.2549142837524414,114152,0.30217599868774414,140021,719,3.20603084564209,"[80, 35, 2, 2, 15]"
Off,Off,On,On,On,Off,Off,Off,On,On,On,Off,On,On,Off,Off,On,Off,Off,On,0.09878087043762207,0.24758005142211914,112728,0.30289387702941895,140021,719,3.069512128829956,"[80, 35, 2, 2, 15]"
Off,Off,On,On,On,Off,On,On,Off,On,On,Off,Off,Off,Off,On,On,On,On,On,0.10654759407043457,0.24199914932250977,110056,0.30654239654541016,140021,719,3.1119067668914795,"[80, 35, 2, 2, 15]"
On,On,Off,On,On,On,On,On,On,On,On,Off,On,Off,Off,On,Off,On,On,Off,0.08513736724853516,0.23335003852844238,110056,0.3171885013580322,140021,719,3.124159574508667,"[80, 35, 2, 2, 15]"
Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,0.10284876823425293,0.24483728408813477,112728,0.299602746963501,140021,719,3.0943987369537354,"[80, 35, 2, 2, 15]"
On,On,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,On,Off,On,Off,Off,0.09756898880004883,0.2600595951080322,110056,0.31717395782470703,140021,719,3.0049962997436523,"[80, 35, 2, 2, 15]"
On,On,On,On,Off,On,Off,Off,Off,On,On,On,On,Off,On,On,Off,Off,Off,On,0.10380315780639648,0.24033832550048828,110056,0.2974824905395508,140021,719,3.1036696434020996,"[80, 35, 2, 2, 15]"
Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,On,Off,Off,On,Off,On,On,0.09596729278564453,0.250018835067749,112728,0.31346797943115234,140021,719,3.1306405067443848,"[80, 35, 2, 2, 15]"
Off,Off,Off,On,Off,On,On,Off,On,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,0.1031026840209961,0.24745821952819824,114152,0.32147860527038574,140021,719,3.1128506660461426,"[80, 35, 2, 2, 15]"
Off,Off,Off,Off,On,Off,On,On,Off,On,On,On,On,Off,On,On,Off,Off,Off,Off,0.07938790321350098,0.2416515350341797,110056,0.31209516525268555,140021,719,3.1284666061401367,"[80, 35, 2, 2, 15]"
Off,On,On,Off,On,Off,On,On,On,Off,On,Off,On,On,On,On,Off,Off,Off,On,0.09759187698364258,0.2420060634613037,110056,0.3193185329437256,140021,719,3.1516618728637695,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,On,On,Off,On,Off,0.0929574966430664,0.2650327682495117,110056,0.29456067085266113,140021,719,3.161512851715088,"[80, 35, 2, 2, 15]"
Off,On,Off,On,On,On,On,Off,On,On,Off,On,Off,On,Off,On,Off,Off,On,Off,0.09698009490966797,0.2622528076171875,110056,0.29811644554138184,140021,719,3.1784539222717285,"[80, 35, 2, 2, 15]"
On,Off,Off,On,Off,Off,Off,On,On,On,Off,On,On,Off,On,Off,Off,On,Off,On,0.08909893035888672,0.2516918182373047,114152,0.30852603912353516,140021,719,3.12129545211792,"[80, 35, 2, 2, 15]"
On,On,Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,On,Off,Off,On,On,Off,On,0.08789968490600586,0.24519991874694824,114152,0.30655360221862793,140021,719,3.1822121143341064,"[80, 35, 2, 2, 15]"
Off,On,Off,On,On,On,Off,Off,On,Off,Off,Off,On,Off,Off,On,Off,On,Off,Off,0.09330320358276367,0.24863815307617188,108632,0.3021976947784424,140021,719,3.0096120834350586,"[80, 35, 2, 2, 15]"
On,On,On,On,Off,Off,On,Off,Off,On,On,Off,Off,Off,Off,On,On,Off,Off,Off,0.0901343822479248,0.24553227424621582,110056,0.2958362102508545,140021,719,3.126802921295166,"[80, 35, 2, 2, 15]"
Off,On,Off,On,Off,Off,On,On,On,Off,Off,Off,On,On,Off,On,Off,Off,On,Off,0.07847142219543457,0.24583768844604492,110056,0.30518150329589844,140021,719,3.2003302574157715,"[80, 35, 2, 2, 15]"
Off,Off,On,Off,Off,Off,Off,Off,On,Off,On,Off,On,Off,Off,On,Off,On,Off,On,0.08945369720458984,0.2599148750305176,108632,0.3182077407836914,140021,719,3.0584559440612793,"[80, 35, 2, 2, 15]"
On,On,Off,On,On,Off,Off,On,Off,Off,Off,Off,Off,On,Off,On,On,On,On,On,0.10376286506652832,0.24558162689208984,110056,0.30087709426879883,140021,719,3.1398766040802,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,On,Off,Off,On,Off,Off,Off,Off,Off,On,On,On,Off,Off,On,0.10269522666931152,0.24068069458007812,110056,0.3020355701446533,140021,719,3.113384962081909,"[80, 35, 2, 2, 15]"
Off,Off,Off,On,On,Off,On,On,Off,On,On,Off,On,Off,Off,Off,Off,Off,Off,On,0.09169864654541016,0.2425532341003418,114152,0.3151578903198242,140021,719,3.1172142028808594,"[80, 35, 2, 2, 15]"
On,Off,Off,On,Off,Off,On,On,On,On,On,Off,On,Off,Off,On,On,Off,Off,Off,0.08930397033691406,0.25267767906188965,110056,0.2992570400238037,140021,719,3.062375545501709,"[80, 35, 2, 2, 15]"
On,On,On,On,On,Off,On,On,On,On,On,Off,Off,Off,Off,Off,On,Off,Off,On,0.09721946716308594,0.25052595138549805,114152,0.3201162815093994,140021,719,3.0286169052124023,"[80, 35, 2, 2, 15]"
On,Off,Off,On,On,Off,Off,On,On,Off,On,On,Off,On,On,On,On,On,Off,Off,0.10919356346130371,0.24851202964782715,110056,0.3065342903137207,140021,719,3.121192216873169,"[80, 35, 2, 2, 15]"
On,Off,On,Off,Off,On,Off,On,Off,Off,On,On,On,On,Off,Off,Off,On,On,Off,0.08124756813049316,0.23939013481140137,114152,0.308396577835083,140021,719,3.1306560039520264,"[80, 35, 2, 2, 15]"
Off,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,On,Off,Off,On,On,Off,Off,0.08882784843444824,0.24359774589538574,114152,0.31299805641174316,140021,719,3.1048994064331055,"[80, 35, 2, 2, 15]"
On,Off,On,On,On,Off,On,Off,Off,On,Off,Off,On,On,On,Off,On,On,On,Off,0.0888831615447998,0.2469654083251953,114152,0.2906217575073242,140021,719,3.072338581085205,"[80, 35, 2, 2, 15]"
Off,Off,On,On,On,Off,On,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,On,0.09509730339050293,0.2279055118560791,114152,0.29491329193115234,140021,719,3.046823263168335,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,Off,0.08112478256225586,0.2619757652282715,110056,0.29598164558410645,140021,719,3.1367061138153076,"[80, 35, 2, 2, 15]"
On,Off,Off,On,On,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,0.08393263816833496,0.24961233139038086,110056,0.30510544776916504,140021,719,3.187847137451172,"[80, 35, 2, 2, 15]"
Off,Off,On,On,On,On,Off,Off,On,On,Off,On,On,On,On,Off,Off,On,Off,Off,0.09063291549682617,0.24821138381958008,112728,0.30374670028686523,140021,719,3.1451382637023926,"[80, 35, 2, 2, 15]"
On,Off,On,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,Off,On,Off,Off,0.09460234642028809,0.2532830238342285,114152,0.3030667304992676,140021,719,3.180483341217041,"[80, 35, 2, 2, 15]"
On,On,Off,Off,On,Off,Off,Off,On,On,On,On,On,On,Off,On,Off,Off,Off,Off,0.09271764755249023,0.2434253692626953,110056,0.2948164939880371,140021,719,3.1004798412323,"[80, 35, 2, 2, 15]"
Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,Off,On,Off,On,Off,0.10011434555053711,0.2460498809814453,112728,0.30857014656066895,140021,719,3.0851144790649414,"[80, 35, 2, 2, 15]"
On,Off,On,On,Off,On,Off,On,On,Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,0.08733224868774414,0.23577380180358887,110056,0.30686450004577637,140021,719,3.0584774017333984,"[80, 35, 2, 2, 15]"
