fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,On,On,On,Off,On,On,On,On,On,On,On,Off,On,Off,Off,On,On,Off,0.0849447250366211,1.5215203762054443,522088,34.06672716140747,2152160,10605,38.24961042404175,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,On,Off,Off,Off,Off,Off,Off,On,On,Off,On,On,On,On,0.09664630889892578,1.505864143371582,523192,34.585318088531494,2152160,10605,38.85380983352661,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,Off,Off,On,Off,Off,On,On,On,Off,Off,On,Off,Off,Off,Off,0.09959650039672852,1.4824550151824951,513896,34.10482120513916,2152160,10605,38.26229548454285,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,On,0.10073733329772949,1.4948315620422363,513704,34.093467235565186,2152160,10605,38.22864603996277,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,On,Off,Off,On,On,Off,On,On,On,Off,On,On,On,On,Off,0.08649921417236328,1.5463531017303467,515000,34.06094694137573,2152160,10605,38.305041551589966,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,Off,On,On,Off,Off,Off,On,On,Off,On,Off,On,On,On,Off,0.09725570678710938,1.5118029117584229,515192,34.10193634033203,2152160,10605,38.29683589935303,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,Off,Off,On,Off,0.1030583381652832,1.4583146572113037,513704,34.06825494766235,2152160,10605,38.18408918380737,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,On,Off,Off,On,0.08466053009033203,1.5534369945526123,515000,34.05182242393494,2152160,10605,38.27231454849243,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,Off,Off,On,On,On,Off,On,On,Off,Off,On,On,Off,Off,On,0.0837404727935791,1.472768783569336,523384,34.109843492507935,2152160,10605,38.14269256591797,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,On,On,Off,On,On,Off,On,Off,On,On,On,Off,On,On,On,0.08662295341491699,1.5662829875946045,513704,34.01910471916199,2152160,10605,38.178733348846436,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,On,Off,Off,On,On,Off,Off,Off,Off,On,On,On,Off,On,0.08418989181518555,1.4757235050201416,523192,34.16787385940552,2152160,10605,38.321003437042236,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,Off,Off,On,Off,Off,Off,Off,Off,On,Off,On,Off,On,On,Off,0.09099078178405762,1.46702241897583,522088,34.12287712097168,2152160,10605,38.21774888038635,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,On,On,Off,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,0.0702662467956543,1.5061264038085938,522088,34.070006370544434,2152160,10605,38.20530700683594,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,Off,On,On,Off,On,Off,On,On,Off,On,On,On,Off,Off,Off,0.07658696174621582,1.5177443027496338,515192,34.1301589012146,2152160,10605,38.3233323097229,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,On,On,Off,On,Off,Off,On,On,Off,On,Off,Off,On,On,0.07786083221435547,1.4901700019836426,522088,34.112271785736084,2152160,10605,38.252877712249756,"[10, 50, 6, 4, 50]"
