ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,On,On,Off,0.08518052101135254,5.523041486740112,1252968,34.58648943901062,2152160,10605,42.816779375076294,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,On,On,On,0.07160186767578125,5.549913167953491,1252968,34.76058864593506,2152160,10605,42.783472537994385,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,On,Off,On,Off,Off,Off,On,On,Off,On,Off,Off,Off,On,On,0.09275054931640625,5.590025901794434,1252968,34.76058101654053,2152160,10605,42.94161009788513,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,Off,Off,On,On,Off,On,Off,0.08258223533630371,5.507625341415405,1251544,34.78099083900452,2152160,10605,43.03573775291443,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,On,On,Off,On,On,On,On,On,On,Off,Off,On,On,On,Off,0.09373259544372559,5.4928460121154785,1252968,34.661017417907715,2152160,10605,42.699955701828,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,On,Off,Off,On,Off,On,On,Off,0.09361076354980469,5.484626054763794,1248872,34.76751160621643,2152160,10605,42.86879301071167,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,On,Off,Off,Off,On,On,On,Off,Off,Off,On,Off,Off,On,Off,0.08795857429504395,5.478549480438232,1248872,34.61907482147217,2152160,10605,42.68610692024231,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,On,On,Off,On,On,Off,Off,On,On,Off,On,On,On,On,Off,0.0943450927734375,5.510583400726318,1248872,34.62225699424744,2152160,10605,42.77588129043579,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,Off,Off,Off,On,On,On,Off,Off,On,On,Off,On,Off,0.08542132377624512,5.545398473739624,1248872,34.6461124420166,2152160,10605,42.66923403739929,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,Off,Off,Off,On,On,Off,On,On,Off,Off,On,Off,On,Off,Off,0.09965372085571289,5.499309301376343,1251544,34.75785827636719,2152160,10605,42.83018636703491,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,On,On,Off,Off,On,On,Off,On,On,Off,On,Off,Off,On,0.10147595405578613,5.545774221420288,1252968,34.64478898048401,2152160,10605,42.830403327941895,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,Off,0.0846700668334961,5.4932684898376465,1252968,34.627203941345215,2152160,10605,42.61006712913513,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,Off,Off,On,On,On,On,On,Off,Off,On,On,Off,On,Off,0.09122562408447266,5.560597896575928,1251544,34.72305369377136,2152160,10605,42.970162868499756,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,On,On,Off,On,Off,On,On,Off,Off,Off,Off,On,On,Off,0.09454989433288574,5.529127359390259,1252968,34.739548444747925,2152160,10605,42.961496353149414,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,On,Off,On,Off,Off,On,On,Off,On,0.10159707069396973,5.53092360496521,1252968,34.59577393531799,2152160,10605,42.72069001197815,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,Off,On,Off,Off,On,On,Off,On,Off,On,Off,On,On,On,Off,0.08067870140075684,5.545642137527466,1252968,34.615899324417114,2152160,10605,42.78972864151001,"[10, 50, 6, 4, 50]"
