fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,On,On,On,On,On,Off,0.08836674690246582,0.720343828201294,207208,4.1596715450286865,828309,4503,7.58615255355835,"[10, 50, 6, 4, 10]"
Off,Off,Off,Off,On,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,Off,Off,Off,0.08723688125610352,0.7899951934814453,207208,4.130066633224487,828309,4503,7.576935052871704,"[10, 50, 6, 4, 10]"
On,On,On,On,Off,On,Off,On,On,Off,On,On,On,On,Off,On,Off,Off,On,Off,0.11075592041015625,0.765068531036377,206008,4.142626523971558,828309,4503,7.641229629516602,"[10, 50, 6, 4, 10]"
Off,Off,Off,Off,On,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,Off,Off,Off,0.0776970386505127,0.7159736156463623,242608,6.800400733947754,866233,4708,10.102238655090332,"[10, 50, 6, 4, 25]"
On,Off,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,On,On,On,On,On,Off,0.11066699028015137,0.703603982925415,242608,6.777939081192017,866233,4708,10.123030185699463,"[10, 50, 6, 4, 25]"
Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,On,Off,On,0.09263324737548828,0.6930334568023682,241456,6.750308990478516,866233,4708,10.01775574684143,"[10, 50, 6, 4, 25]"
Off,Off,Off,Off,On,Off,On,Off,On,On,Off,Off,On,On,Off,Off,On,Off,Off,Off,0.08032345771789551,1.5363545417785645,515000,34.14987635612488,2152160,10605,38.316895723342896,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,Off,On,Off,On,Off,Off,Off,On,Off,0.09594345092773438,0.7046654224395752,241456,6.793992280960083,866233,4708,10.180632591247559,"[10, 50, 6, 4, 25]"
On,On,Off,On,On,On,On,On,Off,On,On,On,On,On,On,On,On,On,Off,On,0.08685588836669922,0.760601282119751,246776,6.798433065414429,866233,4708,10.168577432632446,"[10, 50, 6, 4, 25]"
Off,On,Off,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,Off,Off,On,Off,Off,Off,0.0866849422454834,0.690199613571167,242680,6.7581868171691895,866233,4708,10.073798894882202,"[10, 50, 6, 4, 25]"
On,Off,On,On,On,Off,Off,Off,On,Off,Off,On,Off,On,Off,On,Off,On,On,On,0.0955970287322998,0.7128753662109375,241456,6.757044553756714,866233,4708,10.017406463623047,"[10, 50, 6, 4, 25]"
Off,On,Off,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,Off,Off,On,Off,Off,Off,0.07454586029052734,1.5277371406555176,515192,34.13628387451172,2152160,10605,38.325265884399414,"[10, 50, 6, 4, 50]"
