ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,On,On,Off,Off,On,On,Off,On,0.08971548080444336,0.20300602912902832,44464,0.14664816856384277,38437,587,2.850435733795166,"[90, 5, 1, 3, 15]"
Off,On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,0.07146954536437988,0.19582223892211914,40368,0.15075135231018066,38437,587,2.7563729286193848,"[90, 5, 1, 3, 15]"
On,On,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.08526897430419922,0.20347285270690918,45888,0.1455521583557129,38437,587,2.8155710697174072,"[90, 5, 1, 3, 15]"
On,On,Off,Off,On,Off,Off,On,Off,On,On,On,On,Off,On,On,Off,On,Off,Off,0.07821798324584961,0.1892530918121338,41792,0.1607823371887207,38437,587,2.848900318145752,"[90, 5, 1, 3, 15]"
On,Off,Off,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,On,Off,Off,Off,0.0781252384185791,0.2627065181732178,99208,0.2608764171600342,126235,1010,2.9374923706054688,"[70, 15, 1, 3, 25]"
Off,Off,Off,Off,Off,On,On,Off,On,On,Off,On,On,On,On,Off,Off,On,On,Off,0.09084248542785645,0.2612643241882324,103304,0.22641611099243164,126235,1010,2.9942009449005127,"[70, 15, 1, 3, 25]"
On,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,0.09009480476379395,0.24848079681396484,103304,0.24508213996887207,126235,1010,2.941464900970459,"[70, 15, 1, 3, 25]"
Off,On,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,0.07903647422790527,0.24305462837219238,97776,0.24821925163269043,126235,1010,2.965715169906616,"[70, 15, 1, 3, 25]"
Off,Off,On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,0.08145713806152344,0.25745177268981934,101872,0.23575520515441895,126235,1010,3.043671131134033,"[70, 15, 1, 3, 25]"
On,On,On,On,On,Off,On,On,On,Off,On,Off,On,Off,On,On,Off,Off,On,On,0.0825188159942627,0.24268031120300293,99208,0.22944092750549316,126235,1010,2.8456521034240723,"[70, 15, 1, 3, 25]"
Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,On,On,Off,Off,On,On,Off,On,0.08162260055541992,0.2717897891998291,101872,0.2387845516204834,126235,1010,3.113888740539551,"[70, 15, 1, 3, 25]"
Off,On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,0.0861506462097168,0.2685222625732422,97776,0.24266576766967773,126235,1010,2.9866998195648193,"[70, 15, 1, 3, 25]"
On,On,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.08689522743225098,0.24095606803894043,103304,0.25748491287231445,126235,1010,2.9112582206726074,"[70, 15, 1, 3, 25]"
On,On,Off,Off,On,Off,Off,On,Off,On,On,On,On,Off,On,On,Off,On,Off,Off,0.10099387168884277,0.24914121627807617,99208,0.2434990406036377,126235,1010,3.0501301288604736,"[70, 15, 1, 3, 25]"
On,Off,Off,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,On,Off,Off,Off,0.10183835029602051,0.31161022186279297,104880,0.9322624206542969,172559,2660,3.7336537837982178,"[50, 5, 2, 4, 35]"
Off,Off,Off,Off,Off,On,On,Off,On,On,Off,On,On,On,On,Off,Off,On,On,Off,0.0888524055480957,0.30536961555480957,113072,0.9134056568145752,172559,2660,3.828131675720215,"[50, 5, 2, 4, 35]"
On,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,0.08478403091430664,0.3141651153564453,113072,0.9123272895812988,172559,2660,3.6272592544555664,"[50, 5, 2, 4, 35]"
Off,On,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,0.09438300132751465,0.2963879108428955,103456,0.9149951934814453,172559,2660,3.6974728107452393,"[50, 5, 2, 4, 35]"
Off,Off,On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,0.08830547332763672,0.30989527702331543,111648,0.8962621688842773,172559,2660,3.645219326019287,"[50, 5, 2, 4, 35]"
On,On,On,On,On,Off,On,On,On,Off,On,Off,On,Off,On,On,Off,Off,On,On,0.0758519172668457,0.30936741828918457,104880,0.9059371948242188,172559,2660,3.7319302558898926,"[50, 5, 2, 4, 35]"
Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,On,On,Off,Off,On,On,Off,On,0.09372401237487793,0.31238341331481934,111648,0.899954080581665,172559,2660,3.6359238624572754,"[50, 5, 2, 4, 35]"
Off,On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,0.08653926849365234,0.29883360862731934,103456,0.9078559875488281,172559,2660,3.6390256881713867,"[50, 5, 2, 4, 35]"
On,On,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.09503364562988281,0.30280232429504395,113072,0.913111686706543,172559,2660,3.6662492752075195,"[50, 5, 2, 4, 35]"
On,On,Off,Off,On,Off,Off,On,Off,On,On,On,On,Off,On,On,Off,On,Off,Off,0.09899377822875977,0.2973208427429199,104880,0.9193572998046875,172559,2660,3.646674156188965,"[50, 5, 2, 4, 35]"
On,Off,Off,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,On,Off,Off,Off,0.08188772201538086,0.2858097553253174,92168,0.2235879898071289,130590,827,2.977362632751465,"[50, 35, 2, 2, 20]"
Off,Off,Off,Off,Off,On,On,Off,On,On,Off,On,On,On,On,Off,Off,On,On,Off,0.08916020393371582,0.29024815559387207,96264,0.21077418327331543,130590,827,3.053058624267578,"[50, 35, 2, 2, 20]"
On,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,0.08771729469299316,0.28285670280456543,96264,0.21455788612365723,130590,827,2.9466700553894043,"[50, 35, 2, 2, 20]"
Off,On,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,0.07938051223754883,0.2884542942047119,90736,0.19722795486450195,130590,827,2.8828611373901367,"[50, 35, 2, 2, 20]"
Off,Off,On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,0.09157419204711914,0.29044604301452637,94832,0.21318316459655762,130590,827,2.9219725131988525,"[50, 35, 2, 2, 20]"
On,On,On,On,On,Off,On,On,On,Off,On,Off,On,Off,On,On,Off,Off,On,On,0.07348966598510742,0.2829928398132324,92168,0.21225976943969727,130590,827,2.904994487762451,"[50, 35, 2, 2, 20]"
Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,On,On,Off,Off,On,On,Off,On,0.08092260360717773,0.28623032569885254,94832,0.21909689903259277,130590,827,2.90777587890625,"[50, 35, 2, 2, 20]"
Off,On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,0.07443571090698242,0.28332996368408203,90736,0.20815563201904297,130590,827,2.9153220653533936,"[50, 35, 2, 2, 20]"
On,On,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.08123016357421875,0.27669811248779297,96264,0.19306683540344238,130590,827,2.8195855617523193,"[50, 35, 2, 2, 20]"
On,On,Off,Off,On,Off,Off,On,Off,On,On,On,On,Off,On,On,Off,On,Off,Off,0.09864258766174316,0.28430795669555664,92168,0.21695470809936523,130590,827,3.0309181213378906,"[50, 35, 2, 2, 20]"
On,Off,Off,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,On,Off,Off,Off,0.09071850776672363,0.17815709114074707,33464,0.10698533058166504,19995,125,2.6698741912841797,"[50, 35, 1, 1, 5]"
