ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,Off,Off,Off,On,On,Off,Off,Off,On,Off,On,On,On,Off,On,Off,On,On,0.08651924133300781,5.566359996795654,1252968,34.6743860244751,2152160,10605,42.724395513534546,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,On,Off,Off,Off,On,Off,On,On,On,Off,On,Off,On,On,0.09896039962768555,5.482566595077515,1252968,34.82970905303955,2152160,10605,42.829957485198975,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,Off,On,Off,On,Off,On,Off,0.09688830375671387,5.47935938835144,1255640,34.71861433982849,2152160,10605,42.74000000953674,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,On,Off,Off,Off,Off,On,On,Off,Off,Off,On,Off,On,Off,0.09780359268188477,5.489132404327393,1252968,34.861408948898315,2152160,10605,42.94890856742859,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,Off,Off,0.09422063827514648,5.516830205917358,1252968,34.87052083015442,2152160,10605,42.992796659469604,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,Off,On,On,Off,On,On,Off,On,Off,On,Off,Off,On,On,Off,0.08079910278320312,5.512444496154785,1252968,34.728718519210815,2152160,10605,42.87776231765747,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,On,On,On,On,Off,Off,Off,Off,On,Off,Off,On,On,Off,0.0944666862487793,5.499216318130493,1252968,34.718337535858154,2152160,10605,42.85846257209778,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,Off,On,Off,Off,On,On,Off,On,Off,On,Off,Off,On,Off,On,0.09764647483825684,5.524352312088013,1252968,34.72106909751892,2152160,10605,42.81257486343384,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,On,On,Off,Off,On,On,Off,Off,On,Off,On,Off,On,On,0.0854024887084961,5.518766403198242,1252968,34.78247284889221,2152160,10605,42.845935344696045,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,On,On,Off,Off,On,On,On,On,Off,On,Off,Off,On,On,Off,0.09059357643127441,5.491191148757935,1252968,34.83493638038635,2152160,10605,42.8368239402771,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,Off,On,Off,On,Off,On,Off,On,On,On,Off,On,Off,On,Off,0.08602714538574219,5.550316095352173,1252968,34.84684205055237,2152160,10605,43.035555362701416,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,On,On,Off,Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,0.09294271469116211,5.526515007019043,1252968,34.71887159347534,2152160,10605,42.900057554244995,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,0.10464739799499512,5.550912141799927,1252968,34.832292556762695,2152160,10605,42.987908601760864,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,On,On,Off,On,On,On,On,On,Off,On,Off,Off,On,On,On,0.08990049362182617,5.5219104290008545,1252968,34.85853314399719,2152160,10605,42.929357051849365,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,Off,Off,On,Off,Off,On,On,On,0.10650300979614258,5.491936206817627,1255640,34.86382985115051,2152160,10605,42.97528100013733,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,Off,On,Off,On,Off,On,Off,On,Off,On,Off,Off,Off,On,On,0.1110527515411377,5.488576412200928,1252968,34.68878650665283,2152160,10605,42.76400279998779,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,Off,On,On,Off,0.07955527305603027,5.4887306690216064,1252968,34.66378331184387,2152160,10605,42.66386318206787,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,Off,Off,Off,On,On,Off,Off,On,Off,Off,On,On,Off,0.09950137138366699,5.515832424163818,1252968,34.67476463317871,2152160,10605,42.78344178199768,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,On,0.0808401107788086,5.494143486022949,1252968,34.70639181137085,2152160,10605,42.76776432991028,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,Off,Off,On,On,0.0873727798461914,5.535379409790039,1252968,34.686227560043335,2152160,10605,42.863959312438965,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,Off,On,Off,On,Off,On,On,Off,Off,Off,Off,Off,Off,On,On,0.09189009666442871,5.5451576709747314,1252968,34.865633726119995,2152160,10605,43.00670599937439,"[10, 50, 6, 4, 50]"
