fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,On,Off,On,On,On,On,Off,Off,0.08699679374694824,1.5886125564575195,523192,34.130887269973755,2152160,10605,38.364253520965576,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,On,Off,On,Off,On,On,Off,Off,On,On,On,Off,Off,Off,On,0.10087132453918457,1.5628063678741455,513896,34.05846858024597,2152160,10605,38.30919551849365,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,0.08217453956604004,1.4436922073364258,513704,34.09419798851013,2152160,10605,38.11282420158386,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,On,Off,Off,0.07618355751037598,1.5339055061340332,513704,34.0748176574707,2152160,10605,38.248228311538696,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,0.09083724021911621,1.5030229091644287,513896,34.104877948760986,2152160,10605,38.30004167556763,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,0.09990191459655762,1.4993977546691895,513704,34.05530762672424,2152160,10605,38.18858075141907,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,On,Off,Off,On,On,Off,On,On,Off,On,On,On,Off,Off,0.09411168098449707,1.500086784362793,515000,34.103546380996704,2152160,10605,38.208170652389526,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,Off,Off,On,On,Off,On,Off,Off,0.08532238006591797,1.5169336795806885,513896,34.09473133087158,2152160,10605,38.26194167137146,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,Off,Off,Off,Off,On,On,Off,On,On,On,Off,Off,On,Off,Off,0.09177017211914062,1.53609299659729,521896,34.174206256866455,2152160,10605,38.349063873291016,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,On,Off,Off,0.09303617477416992,1.4952139854431152,515192,34.026599645614624,2152160,10605,38.143571853637695,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,Off,On,On,Off,Off,Off,Off,On,On,On,On,Off,On,Off,Off,0.08390140533447266,1.4673118591308594,513896,34.210861682891846,2152160,10605,38.291831731796265,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,Off,Off,On,On,On,On,On,Off,0.0904090404510498,1.4835119247436523,515192,34.098883390426636,2152160,10605,38.22477316856384,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,Off,On,On,Off,Off,On,Off,Off,Off,On,On,Off,On,Off,Off,0.09701657295227051,1.4995813369750977,513896,34.116323947906494,2152160,10605,38.24968147277832,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,On,Off,Off,0.08324766159057617,1.4928979873657227,513704,34.1046941280365,2152160,10605,38.16636276245117,"[10, 50, 6, 4, 50]"
