ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,Off,On,Off,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,0.08514785766601562,5.484111309051514,1252968,34.80150270462036,2152160,10605,42.9377818107605,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,0.08850932121276855,5.55638861656189,1252968,34.76157903671265,2152160,10605,42.90275239944458,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,On,Off,On,On,Off,Off,0.08969426155090332,5.545262813568115,1252968,34.65807032585144,2152160,10605,42.81144595146179,"[10, 50, 6, 4, 50]"
On,On,On,On,On,Off,On,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,On,On,0.10075235366821289,5.53974461555481,1252968,34.797141313552856,2152160,10605,42.894705057144165,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,On,Off,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,0.0728449821472168,5.496510028839111,1248872,34.758336544036865,2152160,10605,42.82148194313049,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,On,Off,Off,On,On,On,Off,On,Off,On,Off,On,On,Off,On,0.1040644645690918,5.540912628173828,1255640,34.65672421455383,2152160,10605,42.864325523376465,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,On,On,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,0.09477376937866211,5.4928483963012695,1248872,34.77253484725952,2152160,10605,42.84644961357117,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,On,Off,Off,Off,On,On,Off,Off,Off,Off,On,On,On,On,Off,0.09084534645080566,5.553717374801636,1248872,34.602219581604004,2152160,10605,42.77604269981384,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,On,Off,Off,On,On,On,On,On,On,Off,On,On,Off,On,0.0890967845916748,5.53861927986145,1252968,34.7523250579834,2152160,10605,42.82414102554321,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,Off,On,On,On,On,Off,0.09146499633789062,5.526828289031982,1248872,34.61694288253784,2152160,10605,42.690927028656006,"[10, 50, 6, 4, 50]"
