fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,Off,Off,On,On,On,On,Off,On,On,Off,On,On,Off,On,On,On,Off,On,0.0890192985534668,1.511352300643921,515192,34.0873966217041,2152160,10605,38.17833352088928,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,On,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,0.09683656692504883,1.518212080001831,522088,34.06191945075989,2152160,10605,38.23917770385742,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,On,Off,Off,Off,0.09820270538330078,1.5088374614715576,515000,34.070897340774536,2152160,10605,38.36401009559631,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,Off,On,On,Off,On,Off,Off,On,Off,On,Off,On,Off,On,On,0.08601784706115723,1.4982657432556152,515192,34.05032682418823,2152160,10605,38.21284317970276,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,On,On,On,On,Off,Off,On,On,Off,Off,Off,On,Off,On,0.0776212215423584,1.5190985202789307,513896,34.05437684059143,2152160,10605,38.231950998306274,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,On,On,On,On,On,On,On,Off,On,On,On,On,On,On,Off,0.10048770904541016,1.5374541282653809,515192,34.05689978599548,2152160,10605,38.2768714427948,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,On,Off,On,Off,Off,On,Off,On,Off,Off,Off,On,On,Off,Off,0.09946060180664062,1.5334515571594238,523384,34.06721210479736,2152160,10605,38.34206247329712,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,Off,Off,Off,On,On,Off,On,On,Off,Off,Off,On,On,On,0.09827470779418945,1.4893953800201416,513704,34.03955864906311,2152160,10605,38.180519104003906,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,On,Off,On,On,On,On,Off,Off,Off,On,Off,On,Off,Off,On,0.09570145606994629,1.499682903289795,523384,34.08497953414917,2152160,10605,38.18981575965881,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,Off,Off,On,On,On,Off,On,0.09937405586242676,1.5388195514678955,523384,34.108402490615845,2152160,10605,38.307066202163696,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,On,Off,Off,0.0922856330871582,1.5255763530731201,515192,34.260220766067505,2152160,10605,38.36427330970764,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,On,On,On,Off,Off,Off,On,On,Off,On,Off,On,On,On,0.10028767585754395,1.4841067790985107,513896,34.076990842819214,2152160,10605,38.23362135887146,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,On,On,On,Off,Off,0.08313226699829102,1.5021836757659912,515192,34.12492537498474,2152160,10605,38.247071504592896,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,On,Off,On,Off,Off,0.0871737003326416,1.5086982250213623,513896,34.08063197135925,2152160,10605,38.31631016731262,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,On,On,On,Off,Off,Off,On,On,On,Off,On,On,On,On,Off,0.08951163291931152,1.5463876724243164,523384,34.07606482505798,2152160,10605,38.176701068878174,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,Off,On,Off,On,Off,On,Off,On,Off,On,Off,Off,Off,0.09687495231628418,1.469839334487915,523192,34.16839146614075,2152160,10605,38.207133293151855,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,On,Off,On,Off,Off,On,Off,On,On,Off,Off,Off,On,Off,On,0.09799385070800781,1.5531675815582275,513896,34.098058462142944,2152160,10605,38.380624532699585,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,On,On,On,On,Off,Off,On,Off,Off,Off,Off,On,Off,Off,0.08813643455505371,1.524564504623413,522088,34.06501293182373,2152160,10605,38.20491170883179,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,On,Off,On,Off,Off,Off,On,Off,On,On,On,Off,Off,Off,Off,0.07793331146240234,1.5525550842285156,522088,34.07683062553406,2152160,10605,38.20663022994995,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,On,Off,Off,Off,On,0.11284089088439941,1.5142323970794678,513704,34.159180879592896,2152160,10605,38.241761445999146,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,On,Off,On,Off,Off,Off,On,On,On,On,On,On,Off,Off,Off,0.09025692939758301,1.5175514221191406,515192,34.075005292892456,2152160,10605,38.297667026519775,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,On,Off,On,On,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,0.0818033218383789,1.5686075687408447,513896,34.08800554275513,2152160,10605,38.26215076446533,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,On,On,On,On,On,Off,On,On,Off,Off,On,On,On,Off,Off,0.0847005844116211,1.5121304988861084,523384,34.1380455493927,2152160,10605,38.303542613983154,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,Off,Off,On,On,On,Off,Off,On,On,Off,On,Off,Off,Off,Off,0.08717894554138184,1.4924464225769043,513896,34.13993525505066,2152160,10605,38.24066519737244,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,On,Off,Off,Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,0.09392666816711426,1.5053935050964355,521896,34.06615424156189,2152160,10605,38.24367141723633,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,Off,On,On,Off,Off,On,On,On,On,On,Off,Off,On,Off,0.10671067237854004,1.5332207679748535,513896,34.06751346588135,2152160,10605,38.32331824302673,"[10, 50, 6, 4, 50]"
On,On,On,Off,On,On,Off,On,Off,Off,Off,On,Off,On,On,On,Off,On,Off,Off,0.07160687446594238,1.5524420738220215,513896,34.29179859161377,2152160,10605,38.54130673408508,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,Off,Off,0.08049964904785156,1.4898302555084229,513896,34.16038179397583,2152160,10605,38.27642583847046,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,Off,On,On,On,Off,On,On,On,Off,On,Off,On,Off,Off,0.10234332084655762,1.5095431804656982,513896,34.16209650039673,2152160,10605,38.387922048568726,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,Off,Off,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,0.08701705932617188,1.506986141204834,513896,34.05769062042236,2152160,10605,38.14178442955017,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,On,Off,On,Off,Off,Off,On,Off,On,On,On,Off,Off,Off,Off,0.09420108795166016,1.5036263465881348,513896,34.118242025375366,2152160,10605,38.26234006881714,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,Off,Off,Off,Off,Off,On,Off,On,On,On,Off,Off,Off,Off,0.10002875328063965,1.5132722854614258,513704,34.105977296829224,2152160,10605,38.25339221954346,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,Off,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,On,0.08333158493041992,1.595837116241455,522088,34.048179388046265,2152160,10605,38.31603789329529,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,On,Off,On,On,Off,Off,On,Off,On,On,On,Off,Off,Off,Off,0.1029062271118164,1.5438199043273926,513896,34.16254782676697,2152160,10605,38.406485080718994,"[10, 50, 6, 4, 50]"
