fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,On,On,On,On,On,On,On,Off,On,Off,Off,On,On,Off,Off,Off,Off,On,On,0.08876967430114746,1.5027337074279785,522088,34.04449701309204,2152160,10605,38.25615167617798,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,On,On,On,On,On,Off,On,Off,Off,On,On,Off,Off,On,0.0807657241821289,1.509486198425293,515192,34.079371213912964,2152160,10605,38.11806392669678,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,Off,On,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,Off,0.09104156494140625,1.486276626586914,522088,34.00222182273865,2152160,10605,38.27793741226196,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,Off,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,0.10015559196472168,1.5382585525512695,513704,34.09521150588989,2152160,10605,38.47779369354248,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,On,On,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,On,Off,0.09696412086486816,1.6054737567901611,513704,34.051560163497925,2152160,10605,38.29862666130066,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,Off,On,Off,Off,On,On,On,Off,On,Off,Off,Off,Off,Off,On,0.0998077392578125,1.5773239135742188,521896,34.08014249801636,2152160,10605,38.32421660423279,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,On,Off,Off,On,On,On,On,On,Off,Off,Off,On,On,Off,Off,0.09168028831481934,1.5591700077056885,515000,34.03139138221741,2152160,10605,38.23360276222229,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,Off,On,On,Off,Off,Off,Off,On,On,On,On,On,Off,On,0.07831168174743652,1.4598443508148193,523384,34.02340793609619,2152160,10605,38.12846064567566,"[10, 50, 6, 4, 50]"
On,On,On,Off,On,Off,On,Off,On,On,On,On,Off,Off,Off,On,On,Off,On,Off,0.09112954139709473,1.5013465881347656,515000,34.10168814659119,2152160,10605,38.32705044746399,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,On,Off,On,On,Off,On,On,On,Off,Off,Off,On,Off,On,0.0717318058013916,1.5370821952819824,521896,34.16187858581543,2152160,10605,38.351646900177,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,On,Off,On,On,Off,Off,0.09295129776000977,1.5379433631896973,523192,34.129281997680664,2152160,10605,38.31896758079529,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,On,Off,Off,0.0951073169708252,1.5518577098846436,523192,34.17736101150513,2152160,10605,38.35110354423523,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,On,On,On,On,Off,On,On,Off,0.08865141868591309,1.54990553855896,521896,34.11474609375,2152160,10605,38.37272787094116,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,On,On,On,On,Off,On,On,On,Off,On,Off,Off,On,On,On,0.10131049156188965,1.5254428386688232,522088,34.04038381576538,2152160,10605,38.18064737319946,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,Off,On,Off,On,Off,On,On,Off,On,On,Off,On,On,On,0.09915399551391602,1.4970860481262207,513896,34.21611928939819,2152160,10605,38.388893604278564,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,On,Off,On,On,On,Off,Off,Off,On,On,On,On,On,On,On,0.08219480514526367,1.5515503883361816,523384,34.004982233047485,2152160,10605,38.221638441085815,"[10, 50, 6, 4, 50]"
