ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,Off,On,On,On,Off,On,On,Off,On,Off,On,On,Off,Off,On,On,On,On,0.10805940628051758,5.498982667922974,1255640,34.635497093200684,2152160,10605,42.722997426986694,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,On,On,On,Off,On,Off,Off,Off,Off,On,On,Off,On,Off,0.09090280532836914,5.563430547714233,1248872,34.6132447719574,2152160,10605,42.81234836578369,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,Off,Off,Off,Off,On,Off,On,On,On,On,Off,Off,On,Off,On,0.09853768348693848,5.50007176399231,1252968,34.6516478061676,2152160,10605,42.8323655128479,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,On,On,On,Off,On,On,Off,On,On,Off,Off,On,On,Off,0.08726000785827637,5.49239444732666,1252968,34.76008582115173,2152160,10605,42.741652488708496,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,Off,On,On,Off,Off,On,0.09266352653503418,5.558481216430664,1251544,34.67084550857544,2152160,10605,42.78148651123047,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,On,On,Off,Off,On,Off,Off,Off,On,Off,Off,On,On,Off,Off,0.10527944564819336,5.543732643127441,1252968,34.82041263580322,2152160,10605,42.96883249282837,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,Off,Off,On,On,Off,On,On,On,Off,On,On,Off,Off,On,On,0.09494519233703613,5.476801872253418,1248872,34.60849404335022,2152160,10605,42.61651062965393,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,Off,On,On,On,On,On,On,On,On,Off,Off,On,On,On,Off,0.0864408016204834,5.497683763504028,1252968,34.61433792114258,2152160,10605,42.6330189704895,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,On,0.10087323188781738,5.474937677383423,1251544,34.78171229362488,2152160,10605,42.88320970535278,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,Off,0.09238362312316895,5.50373387336731,1252968,34.764909982681274,2152160,10605,42.82557535171509,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,Off,Off,On,On,On,On,On,Off,Off,Off,On,On,Off,On,On,0.07915329933166504,5.544538259506226,1248872,35.445563554763794,2152160,10605,43.59669470787048,"[10, 50, 6, 4, 50]"
On,On,On,On,On,Off,On,Off,Off,Off,Off,On,On,Off,Off,On,On,Off,Off,Off,0.09117555618286133,5.537689924240112,1248872,34.63662934303284,2152160,10605,42.758925676345825,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,On,Off,On,On,On,On,Off,Off,On,On,Off,Off,On,On,On,0.07783198356628418,5.571707010269165,1255640,34.5887496471405,2152160,10605,42.72071886062622,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,Off,Off,On,On,Off,On,Off,Off,Off,On,On,On,Off,Off,0.08992290496826172,5.54550576210022,1251544,34.75492024421692,2152160,10605,42.85653042793274,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,On,On,On,Off,On,Off,On,On,Off,On,On,Off,On,Off,On,0.09502005577087402,5.50315260887146,1248872,34.802090883255005,2152160,10605,42.93935990333557,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,Off,Off,Off,On,On,On,On,Off,Off,On,On,On,Off,Off,Off,0.09127354621887207,5.494919776916504,1251544,34.775444984436035,2152160,10605,42.89627957344055,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,Off,Off,Off,On,On,Off,Off,On,On,On,On,On,Off,Off,0.0866081714630127,5.557079792022705,1251544,34.8035044670105,2152160,10605,43.08196187019348,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,On,On,On,Off,On,Off,Off,0.09440755844116211,5.505847215652466,1248872,34.80269432067871,2152160,10605,42.885958194732666,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,On,On,On,On,0.08244037628173828,5.545771360397339,1255640,34.73906111717224,2152160,10605,42.886406660079956,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,On,Off,Off,On,Off,On,Off,0.08884763717651367,5.569386959075928,1252968,34.801955461502075,2152160,10605,43.12727427482605,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,On,Off,Off,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,0.0899343490600586,5.474388837814331,1255640,34.77910876274109,2152160,10605,42.88838481903076,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,Off,On,On,On,Off,Off,On,On,On,On,Off,Off,On,On,0.09395313262939453,5.4785778522491455,1248872,34.77748394012451,2152160,10605,42.909483194351196,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,Off,Off,On,On,On,On,On,On,On,On,On,On,Off,On,Off,0.07747483253479004,5.509606599807739,1248872,34.62642455101013,2152160,10605,42.74847388267517,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,On,On,Off,On,Off,On,On,On,On,On,Off,On,Off,Off,Off,0.08881855010986328,5.492717504501343,1252968,34.60986113548279,2152160,10605,42.709715366363525,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,Off,0.08741974830627441,5.524166584014893,1248872,34.615060806274414,2152160,10605,42.83022475242615,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,Off,Off,On,On,On,Off,On,Off,On,On,On,On,Off,Off,0.08721232414245605,5.498039484024048,1251544,34.64558243751526,2152160,10605,42.6592960357666,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,Off,On,On,Off,0.0972142219543457,5.552297830581665,1248872,34.829052448272705,2152160,10605,43.176621198654175,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,On,On,Off,On,Off,0.09554266929626465,5.4906816482543945,1248872,34.7763454914093,2152160,10605,42.926971435546875,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,Off,On,On,On,Off,0.09454941749572754,5.497318744659424,1252968,34.84541940689087,2152160,10605,43.05026626586914,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,Off,Off,Off,Off,On,Off,On,On,On,Off,On,On,On,On,Off,0.08723592758178711,5.531222105026245,1248872,34.7929790019989,2152160,10605,42.95996332168579,"[10, 50, 6, 4, 50]"
