fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,Off,On,On,Off,Off,On,On,Off,On,Off,On,On,Off,On,Off,Off,On,On,0.09528875350952148,0.7461180686950684,206008,4.174406051635742,828309,4503,7.43156886100769,"[10, 50, 6, 4, 10]"
On,On,On,On,On,Off,On,Off,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,0.09073805809020996,0.7064716815948486,241456,6.781051397323608,866233,4708,10.11086392402649,"[10, 50, 6, 4, 25]"
Off,On,Off,Off,On,On,On,On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,0.08292651176452637,0.6491315364837646,241528,6.818008661270142,866233,4708,10.020843029022217,"[10, 50, 6, 4, 25]"
Off,On,On,On,On,Off,Off,Off,On,Off,On,On,Off,Off,Off,On,On,On,Off,Off,0.08614158630371094,0.7199206352233887,242608,6.775102853775024,866233,4708,10.05483865737915,"[10, 50, 6, 4, 25]"
On,On,Off,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,0.08827376365661621,1.5099823474884033,523192,34.09417009353638,2152160,10605,38.141770124435425,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,On,On,Off,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,0.0909273624420166,0.6972415447235107,241456,6.771377801895142,866233,4708,10.027820587158203,"[10, 50, 6, 4, 25]"
Off,On,Off,Off,On,On,On,On,On,Off,On,On,Off,Off,Off,On,Off,On,Off,On,0.1039433479309082,0.7029163837432861,241528,6.785404205322266,866233,4708,10.136487245559692,"[10, 50, 6, 4, 25]"
On,On,On,On,On,On,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,0.08342456817626953,0.7478528022766113,241456,6.7771689891815186,866233,4708,10.176254510879517,"[10, 50, 6, 4, 25]"
On,Off,On,On,On,On,On,Off,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,0.08834981918334961,0.7022216320037842,241456,6.791773557662964,866233,4708,10.17543888092041,"[10, 50, 6, 4, 25]"
On,Off,On,On,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,On,Off,0.10790705680847168,1.496591329574585,523192,34.08444905281067,2152160,10605,38.26693391799927,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,0.08463883399963379,1.4650540351867676,521896,34.07990598678589,2152160,10605,38.12857937812805,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,0.08010077476501465,1.5115537643432617,523192,34.08703279495239,2152160,10605,38.1455819606781,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,0.09334230422973633,1.5364892482757568,513704,34.07118010520935,2152160,10605,38.22975039482117,"[10, 50, 6, 4, 50]"
On,On,On,On,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,0.08887410163879395,1.467879056930542,523192,34.10504865646362,2152160,10605,38.13759517669678,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,Off,On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,0.10111808776855469,1.4893996715545654,521896,34.03680968284607,2152160,10605,38.16841435432434,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,On,On,On,Off,On,Off,Off,On,Off,On,On,Off,On,On,0.07830214500427246,0.2697103023529053,145592,2.0930051803588867,356663,1676,4.922230958938599,"[10, 50, 6, 4, 5]"
Off,On,Off,Off,On,On,On,Off,Off,Off,On,Off,Off,On,Off,Off,On,On,On,Off,0.07574820518493652,0.27691006660461426,141424,2.088879346847534,356663,1676,4.925472021102905,"[10, 50, 6, 4, 5]"
Off,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,On,On,On,Off,Off,On,On,On,0.08581829071044922,0.29563188552856445,140424,2.0736281871795654,356663,1676,4.937782049179077,"[10, 50, 6, 4, 5]"
Off,Off,On,On,Off,On,On,On,On,On,Off,Off,On,Off,Off,Off,Off,On,On,On,0.07249045372009277,0.26883363723754883,144520,2.106039047241211,356663,1676,5.025315523147583,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,Off,On,On,Off,Off,Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,0.0874016284942627,0.26978182792663574,141424,2.0966742038726807,356663,1676,4.96643590927124,"[10, 50, 6, 4, 5]"
On,Off,On,On,Off,On,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,Off,0.08400964736938477,0.3414921760559082,145520,2.095093011856079,356663,1676,5.054576873779297,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,On,On,Off,Off,On,On,Off,On,Off,Off,Off,Off,On,On,Off,Off,0.06221723556518555,0.30512189865112305,145520,2.0923380851745605,356663,1676,4.958319425582886,"[10, 50, 6, 4, 5]"
Off,On,Off,Off,On,Off,Off,On,On,On,Off,Off,On,On,Off,On,Off,On,On,On,0.08325076103210449,0.30300307273864746,140424,2.1023476123809814,356663,1676,5.026544809341431,"[10, 50, 6, 4, 5]"
On,Off,On,On,On,On,On,On,On,On,Off,On,On,Off,Off,Off,On,On,On,Off,0.08726382255554199,0.7259657382965088,207240,4.142416477203369,828309,4503,7.4865782260894775,"[10, 50, 6, 4, 10]"
On,Off,Off,On,On,Off,On,On,On,Off,On,On,On,Off,Off,On,On,On,On,On,0.08726668357849121,0.7249736785888672,207240,4.157509803771973,828309,4503,7.4049694538116455,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,On,Off,On,On,On,On,On,Off,On,On,Off,On,Off,On,Off,On,0.10786819458007812,0.6919317245483398,206008,4.144248008728027,828309,4503,7.359532594680786,"[10, 50, 6, 4, 10]"
Off,Off,On,On,Off,On,On,Off,Off,On,Off,On,On,Off,Off,Off,Off,On,Off,Off,0.09170699119567871,0.7057476043701172,205976,4.147680282592773,828309,4503,7.404486894607544,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,On,On,On,On,On,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,0.10623311996459961,0.6678626537322998,245624,6.783315896987915,866233,4708,9.99006700515747,"[10, 50, 6, 4, 25]"
Off,On,On,On,On,Off,Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,On,On,0.08398318290710449,0.6856653690338135,242608,6.757563591003418,866233,4708,9.944126605987549,"[10, 50, 6, 4, 25]"
On,On,Off,On,On,On,Off,On,On,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,0.09341287612915039,1.474043369293213,522088,34.12972664833069,2152160,10605,38.205488204956055,"[10, 50, 6, 4, 50]"
