maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
11999,693,39591,57248,27058,3,102,false,21278,false,538541,21213,72561,true,42249,31070,1421,979,258114,9,2638.06,180.09619140625,"[8, 50, 180, True]"
14119,935,54779,36240,64079,9,250,false,59388,false,434562,31197,55318,false,28470,7424,26655,992,27388,4,2773.75,180.1318027973175,"[8, 50, 180, True]"
4376,703,12238,22396,18341,58,434,true,23770,false,421923,44448,43502,true,50789,34247,1366,366,487714,8,2655.67,180.12774109840393,"[8, 50, 180, True]"
7713,732,33220,41062,11660,1,334,true,56795,true,143935,4185,7143,false,51602,7358,37673,997,170192,4,2712.86,180.12083864212036,"[8, 50, 180, True]"
13121,936,16655,43301,91546,88,319,false,39488,true,342565,54258,70091,false,47057,60938,1360,307,239483,5,2702.32,180.09957242012024,"[8, 50, 180, True]"
12248,646,6844,46937,94320,263,190,true,2287,true,101879,10760,69134,true,26614,1374,952,343,515344,6,2676.11,180.11869168281555,"[8, 50, 180, True]"
9701,31,29007,32410,994,1,313,false,6855,false,480170,58033,68586,false,43474,5605,33545,676,278164,3,2719.81,180.13036680221558,"[8, 50, 180, True]"
17498,723,52354,59537,84421,2,406,false,44163,false,177950,28012,96600,true,34653,4509,944,470,546804,8,2697.25,180.13542699813843,"[8, 50, 180, True]"
15189,772,23421,57627,47188,35,464,true,57053,true,389049,18517,4592,false,60799,32961,753,443,398504,3,2757.72,180.13642597198486,"[8, 50, 180, True]"
7659,142,38438,42480,89043,48,403,true,44782,false,505572,16236,9315,false,15832,298,558,765,30728,10,2706.85,180.11412000656128,"[8, 50, 180, True]"
17965,929,32015,19516,8352,166,142,true,15763,false,420948,39884,14716,false,33428,48170,942,825,283256,7,2713.78,180.1282296180725,"[8, 50, 180, True]"
17986,57,54043,14102,75456,38,299,false,316,true,363569,51913,28504,true,60334,5907,3886,992,14425,8,2723.38,180.11823987960815,"[8, 50, 180, True]"
1848,213,30885,58786,39292,3,335,false,42852,false,328891,51461,69156,true,2819,9275,3966,1000,213968,8,2695.42,180.12992572784424,"[8, 50, 180, True]"
17836,364,12554,37720,97872,420,286,false,47927,false,590907,58500,9007,true,1000,64997,36913,480,164940,8,2573.47,180.1182143688202,"[8, 50, 180, True]"
2468,63,6514,27439,70734,23,104,false,21047,false,250025,46125,26637,true,65089,54785,315,731,571613,4,2681.76,180.1255452632904,"[8, 50, 180, True]"
10706,340,44115,50630,38196,5,133,false,33943,false,598242,59771,71843,true,14024,585,15923,229,459440,10,2679.44,180.08923292160034,"[8, 50, 180, True]"
18076,363,43544,41010,96289,37,126,false,7817,false,136999,50104,45364,true,4326,10859,5831,1000,543297,10,2712.9,180.12726068496704,"[8, 50, 180, True]"
11379,173,37486,903,82410,160,110,false,23812,true,522792,30944,91691,false,40101,12689,325,131,487410,5,2688.54,180.09804773330688,"[8, 50, 180, True]"
9187,892,57190,20173,18628,1,485,false,50344,false,278059,33997,15553,false,18439,31509,43399,999,8125,1,2665.79,180.11709308624268,"[8, 50, 180, True]"
