ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,On,On,On,Off,Off,Off,On,Off,Off,On,Off,On,Off,Off,Off,On,On,On,On,0.09186697006225586,1.4460830688476562,472056,4.249594449996948,828309,4503,8.155487298965454,"[10, 50, 6, 4, 10]"
On,On,Off,Off,On,Off,On,Off,On,Off,Off,On,Off,On,On,Off,Off,Off,Off,Off,0.09166455268859863,1.458505392074585,469384,4.260370969772339,828309,4503,8.325820446014404,"[10, 50, 6, 4, 10]"
Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,Off,Off,On,On,On,Off,On,Off,0.09716606140136719,1.425889253616333,465288,4.2668232917785645,828309,4503,8.237085342407227,"[10, 50, 6, 4, 10]"
Off,Off,On,Off,Off,Off,On,Off,On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,0.09176468849182129,1.497307538986206,496248,7.2087624073028564,866233,4708,11.345930576324463,"[10, 50, 6, 4, 25]"
On,Off,On,On,Off,On,Off,On,On,On,On,On,On,On,On,On,Off,On,On,On,0.08299732208251953,1.487952470779419,496248,7.144197940826416,866233,4708,11.1274094581604,"[10, 50, 6, 4, 25]"
On,On,Off,Off,On,Off,On,Off,On,Off,Off,On,Off,On,On,Off,Off,Off,Off,Off,0.0815739631652832,1.524510383605957,504440,7.170434236526489,866233,4708,11.331698417663574,"[10, 50, 6, 4, 25]"
On,On,Off,Off,On,Off,On,Off,On,Off,Off,On,Off,On,On,Off,Off,Off,Off,Off,0.08962464332580566,5.552086353302002,1252968,34.623387813568115,2152160,10605,42.86091995239258,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,Off,On,On,Off,On,Off,Off,Off,Off,Off,On,On,Off,On,0.085968017578125,1.5198123455047607,504440,7.158480644226074,866233,4708,11.159394979476929,"[10, 50, 6, 4, 25]"
Off,On,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,On,Off,0.09608983993530273,1.5036163330078125,496248,7.154205799102783,866233,4708,11.233519315719604,"[10, 50, 6, 4, 25]"
Off,Off,On,Off,Off,On,On,Off,On,On,Off,On,On,On,Off,Off,Off,Off,On,Off,0.08733057975769043,1.4932997226715088,504440,7.157501697540283,866233,4708,11.218586206436157,"[10, 50, 6, 4, 25]"
On,On,Off,On,On,Off,Off,Off,Off,On,Off,On,Off,Off,On,On,On,Off,Off,On,0.08893299102783203,1.502213954925537,496248,7.1479716300964355,866233,4708,11.197476387023926,"[10, 50, 6, 4, 25]"
On,Off,Off,On,On,Off,Off,On,On,Off,On,Off,Off,Off,Off,Off,On,On,Off,On,0.0893096923828125,5.505433797836304,1252968,34.764084339141846,2152160,10605,42.86378216743469,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,On,Off,On,On,Off,On,On,On,Off,Off,Off,Off,On,Off,0.08816170692443848,5.516770601272583,1252968,34.772377490997314,2152160,10605,42.773744344711304,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,On,On,Off,Off,On,Off,Off,Off,On,On,Off,On,Off,Off,On,0.07288694381713867,5.522216320037842,1252968,34.7639000415802,2152160,10605,42.89078974723816,"[10, 50, 6, 4, 50]"
