fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,On,Off,On,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,0.08783745765686035,0.2020399570465088,35432,0.26449155807495117,140021,719,3.0054335594177246,"[80, 35, 2, 2, 15]"
Off,On,Off,On,On,On,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,0.06809473037719727,0.19169282913208008,35432,0.28525662422180176,140021,719,3.0376646518707275,"[80, 35, 2, 2, 15]"
Off,On,Off,On,On,On,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,0.08558034896850586,1.5014569759368896,522088,34.137680530548096,2152160,10605,38.20226550102234,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,On,Off,On,On,Off,On,On,Off,Off,On,Off,On,On,Off,Off,0.09018087387084961,0.1912679672241211,36464,0.28257203102111816,140021,719,3.004819869995117,"[80, 35, 2, 2, 15]"
On,On,On,Off,On,Off,On,Off,On,Off,Off,On,Off,On,Off,On,On,Off,Off,On,0.08054685592651367,0.21091485023498535,36464,0.2827324867248535,140021,719,3.043341636657715,"[80, 35, 2, 2, 15]"
Off,On,On,On,On,On,Off,Off,Off,On,Off,Off,On,On,Off,On,Off,Off,Off,On,0.08218741416931152,0.2264847755432129,35432,0.2821483612060547,140021,719,2.982323169708252,"[80, 35, 2, 2, 15]"
Off,On,Off,Off,On,On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,On,Off,0.08690524101257324,0.19363880157470703,35432,0.2789480686187744,140021,719,2.9252026081085205,"[80, 35, 2, 2, 15]"
On,Off,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,Off,On,Off,On,On,0.08322954177856445,0.22914862632751465,36464,0.2895512580871582,140021,719,3.0557186603546143,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,Off,Off,On,On,Off,Off,On,On,On,On,On,Off,Off,Off,On,0.09586834907531738,0.20093250274658203,35432,0.27007007598876953,140021,719,2.9307384490966797,"[80, 35, 2, 2, 15]"
Off,Off,On,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,On,Off,On,On,Off,Off,0.0803680419921875,0.20219135284423828,36464,0.2519567012786865,140021,719,2.9423065185546875,"[80, 35, 2, 2, 15]"
On,On,On,On,Off,On,On,Off,On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,0.07988500595092773,0.1986372470855713,35432,0.2762429714202881,140021,719,2.9830985069274902,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,On,Off,On,Off,Off,On,Off,On,On,On,On,On,On,Off,On,On,0.09378767013549805,0.1926712989807129,36464,0.27107882499694824,140021,719,2.9260010719299316,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,On,On,Off,Off,Off,Off,On,Off,0.0765068531036377,0.22974228858947754,35432,0.28471922874450684,140021,719,3.036315679550171,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,On,On,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,On,On,Off,0.0771031379699707,0.2108135223388672,36464,0.28171300888061523,140021,719,2.969493865966797,"[80, 35, 2, 2, 15]"
Off,On,On,Off,On,On,On,On,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,On,0.08886599540710449,0.1738874912261963,35432,0.28766846656799316,140021,719,3.004237651824951,"[80, 35, 2, 2, 15]"
On,On,Off,Off,Off,On,On,Off,On,Off,On,On,Off,Off,On,On,On,On,Off,On,0.07807564735412598,0.188323974609375,36464,0.2743055820465088,140021,719,2.946493625640869,"[80, 35, 2, 2, 15]"
On,On,Off,On,Off,On,On,Off,On,On,Off,On,On,On,Off,On,Off,On,Off,On,0.08277463912963867,0.2153165340423584,35432,0.2882673740386963,140021,719,3.0222887992858887,"[80, 35, 2, 2, 15]"
Off,Off,On,Off,Off,On,Off,On,On,Off,Off,On,Off,Off,Off,On,On,Off,On,On,0.08701038360595703,0.21164608001708984,36464,0.2810027599334717,140021,719,2.963127374649048,"[80, 35, 2, 2, 15]"
On,Off,On,On,Off,Off,On,Off,Off,Off,On,Off,On,On,Off,Off,On,Off,On,On,0.10569047927856445,0.1746807098388672,36464,0.2760741710662842,140021,719,2.9943485260009766,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,On,Off,Off,Off,On,On,Off,Off,On,On,On,Off,Off,On,Off,0.08457660675048828,0.19393134117126465,35432,0.2748091220855713,140021,719,3.013702869415283,"[80, 35, 2, 2, 15]"
Off,Off,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,On,On,0.08968639373779297,0.22584080696105957,36464,0.2781333923339844,140021,719,3.0051491260528564,"[80, 35, 2, 2, 15]"
Off,Off,Off,On,Off,Off,On,Off,Off,On,On,On,Off,On,Off,On,On,On,On,Off,0.07738590240478516,0.17438912391662598,36464,0.2849726676940918,140021,719,2.9572887420654297,"[80, 35, 2, 2, 15]"
On,On,On,On,Off,On,On,Off,On,On,Off,On,Off,On,Off,Off,On,Off,Off,On,0.08723735809326172,0.1836686134338379,36464,0.2842257022857666,140021,719,2.9850213527679443,"[80, 35, 2, 2, 15]"
Off,On,Off,On,Off,On,On,Off,On,On,On,Off,Off,On,On,On,On,On,On,On,0.10462021827697754,0.18002843856811523,36464,0.277754545211792,140021,719,3.0167624950408936,"[80, 35, 2, 2, 15]"
On,Off,On,Off,Off,On,Off,On,Off,On,On,Off,On,Off,Off,On,On,On,Off,On,0.09175753593444824,0.22618770599365234,36464,0.2707192897796631,140021,719,2.959569215774536,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,On,Off,On,Off,Off,On,Off,On,Off,Off,Off,On,On,On,Off,Off,0.08563518524169922,0.222550630569458,36464,0.26101160049438477,140021,719,3.023249626159668,"[80, 35, 2, 2, 15]"
On,On,On,Off,Off,Off,On,On,On,On,On,On,Off,Off,On,Off,Off,On,On,On,0.08843445777893066,0.18300628662109375,35432,0.2774946689605713,140021,719,2.932677745819092,"[80, 35, 2, 2, 15]"
