maxThreads,acceptCount,connectionTimeout,keepAliveTimeout,maxConnections,minSpareThreads,processorCache,enableLookups,asyncTimeout,disableUploadTimeout,connectionUploadTimeout,executorTerminationTimeoutMillis,compressionMinSize,tcpNoDelay,maxHttpHeaderSize,maxHttpRequestHeaderSize,maxHttpResponseHeaderSize,maxKeepAliveRequests,threadsMaxIdleTime,threadPriority,RPS,cost,fidelity
8728,983,34008,21780,47601,266,134,false,58347,false,185842,59553,3091,true,53313,29887,24575,425,42603,6,2723.84,180.13068437576294,"[8, 50, 180, True]"
3,854,11218,7823,56985,287,435,false,57534,true,344301,46073,39638,false,62566,16537,44489,979,140400,7,3214.2,180.08316445350647,"[8, 50, 180, True]"
1942,988,23075,54145,43560,194,232,false,1426,false,574240,59946,47134,false,8696,24779,46588,41,489625,3,2686.85,180.130859375,"[8, 50, 180, True]"
6746,417,12439,1905,93878,211,459,false,55993,false,302413,49305,6161,true,62289,36886,3317,26,487365,4,2718.61,180.1165268421173,"[8, 50, 180, True]"
7647,999,32575,53154,14816,484,285,true,34923,true,404459,59789,53736,true,17550,24736,44006,321,165148,4,2650.8,180.12992453575134,"[8, 50, 180, True]"
4634,289,36475,56170,28217,495,399,true,11394,false,283862,58107,35644,true,29991,42858,54869,83,93415,5,2639.15,180.08366012573242,"[8, 50, 180, True]"
17630,916,32164,23541,65705,61,411,true,27023,false,139761,40098,56790,false,33652,186,61839,142,466346,3,2724.02,180.1245994567871,"[8, 50, 180, True]"
18683,395,14375,671,21287,20,207,false,4391,true,347872,38398,22404,false,44529,1423,29178,60,185866,6,2738.5,180.1217405796051,"[8, 50, 180, True]"
87,966,7515,48488,84711,212,442,true,26015,false,365969,59145,3165,false,14943,19537,61407,749,451893,1,2677.87,180.10877108573914,"[8, 50, 180, True]"
3867,926,2376,55713,45934,498,104,true,46330,true,545201,20098,5125,true,5799,24730,4421,39,416163,7,2634.85,180.11018323898315,"[8, 50, 180, True]"
1031,643,8476,13124,84233,454,352,true,58171,true,168734,59479,88572,true,42637,65064,55526,27,460743,2,2667.52,180.13005781173706,"[8, 50, 180, True]"
8622,583,47537,50400,69623,489,211,false,20297,true,48099,59620,46494,false,22959,4041,63643,753,147124,2,2621.95,180.08381414413452,"[8, 50, 180, True]"
2203,182,6967,12981,93025,205,130,false,56787,true,333031,59854,5707,false,8899,16502,18405,137,539716,6,2705.52,180.1320879459381,"[8, 50, 180, True]"
5749,800,29663,322,5363,92,359,false,6250,true,296265,17979,47287,true,12827,62255,43635,560,155077,7,2748.68,180.12309098243713,"[8, 50, 180, True]"
7,291,17719,6236,34705,244,371,true,7661,false,126705,1648,88776,true,49643,5524,22618,32,595381,4,2916.48,180.12078094482422,"[8, 50, 180, True]"
9399,960,51998,48771,9996,27,499,false,42973,false,204990,34293,15293,true,27113,182,3044,62,72437,10,2742.51,180.1281464099884,"[8, 50, 180, True]"
7464,905,49987,1120,57725,187,278,true,20744,false,529999,53410,28934,true,8231,51363,47795,64,335035,3,2624.68,180.1265103816986,"[8, 50, 180, True]"
7285,883,13656,49363,39525,254,440,true,48939,false,515724,59665,87909,false,35310,35710,10943,72,102508,9,2679.84,180.10528016090393,"[8, 50, 180, True]"
7490,975,41064,33237,1968,492,408,false,38537,false,164687,59998,84577,false,629,50728,49615,39,501351,4,2673.71,180.12158679962158,"[8, 50, 180, True]"
9730,912,8021,11757,99382,387,445,false,106,true,8,56483,2316,false,21652,5505,20839,594,567725,9,2708.01,180.12385368347168,"[8, 50, 180, True]"
7,176,29758,49273,62971,206,475,false,22928,false,588226,45247,11347,true,13645,3291,21912,513,293205,8,3057.65,180.12557363510132,"[8, 50, 180, True]"
2791,971,56860,16218,8490,92,443,true,56035,true,525165,49026,29213,false,19683,62404,5437,983,153333,8,2709.92,180.12112092971802,"[8, 50, 180, True]"
1,189,18929,34512,10497,252,309,true,45635,false,177513,49866,83480,true,59142,62885,21887,922,501059,6,5102.77,180.11578726768494,"[8, 50, 180, True]"
6,795,3649,37349,3762,140,121,false,35101,false,130473,18449,16291,true,26414,2129,40590,185,246482,7,3096.52,180.0522222518921,"[8, 50, 180, True]"
1542,843,17141,92,95812,377,175,true,42873,false,581727,32775,17589,true,26172,53196,36200,49,95533,2,2867.77,361.2093210220337,"[8, 50, 180, True]"
11108,387,23576,44837,87785,242,440,true,4308,false,149672,34738,11364,true,696,61915,54160,412,507965,8,2811.73,180.12954115867615,"[8, 50, 180, True]"
