ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,Off,0.08631443977355957,0.40068507194519043,237848,2.2096621990203857,356663,1676,5.066202402114868,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,On,0.08114266395568848,0.40627264976501465,240512,2.196035146713257,356663,1676,5.157970905303955,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,Off,On,Off,On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,Off,0.08500242233276367,0.4046027660369873,236416,2.1775317192077637,356663,1676,5.0927064418792725,"[10, 50, 6, 4, 5]"
On,On,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,On,Off,Off,On,Off,On,0.08325481414794922,0.40488743782043457,241944,2.1967360973358154,356663,1676,5.258988618850708,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,On,0.08658909797668457,1.4668591022491455,472056,4.278810501098633,828309,4503,8.367788314819336,"[10, 50, 6, 4, 10]"
On,On,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,On,Off,Off,On,Off,On,0.07027816772460938,1.4357266426086426,469384,4.2688915729522705,828309,4503,8.258420467376709,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,Off,On,Off,On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,Off,0.1071770191192627,1.4473891258239746,467960,4.240618944168091,828309,4503,8.306690454483032,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,Off,0.09505581855773926,1.4633946418762207,465288,4.259350299835205,828309,4503,8.44330906867981,"[10, 50, 6, 4, 10]"
On,On,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,On,Off,Off,On,Off,On,0.09592914581298828,1.4956998825073242,504440,7.203855752944946,866233,4708,11.187609910964966,"[10, 50, 6, 4, 25]"
Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,On,0.09153985977172852,1.5029547214508057,503000,7.180716037750244,866233,4708,11.221532821655273,"[10, 50, 6, 4, 25]"
Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,On,0.07933807373046875,5.548322916030884,1255640,34.84186291694641,2152160,10605,43.0771279335022,"[10, 50, 6, 4, 50]"
